# name: A8-116Q150
# comment: ATLAS 8TeV 116<Q<150
# reference: arXiv:1512.02192
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.028
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,Q_avg,y_avg,qT_avg
A8-116Q150.0,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,0.0,2.0,163.2,True,20.0,20.0,-2.4,2.4,0.1207,0.002414,0.001207,0.006155699999999999,133.0,0.0,1.0
A8-116Q150.1,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,2.0,4.0,163.2,True,20.0,20.0,-2.4,2.4,0.2567,0.0030803999999999996,0.0015401999999999998,0.0046206,133.0,0.0,3.0
A8-116Q150.2,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,4.0,6.0,163.2,True,20.0,20.0,-2.4,2.4,0.2719,0.0032627999999999993,0.0016313999999999996,0.0029909,133.0,0.0,5.0
A8-116Q150.3,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,6.0,8.0,163.2,True,20.0,20.0,-2.4,2.4,0.2426,0.0029112,0.0014556,0.0026686000000000006,133.0,0.0,7.0
A8-116Q150.4,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,8.0,10.0,163.2,True,20.0,20.0,-2.4,2.4,0.2161,0.0030253999999999993,0.0015126999999999996,0.0023771,133.0,0.0,9.0
A8-116Q150.5,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,10.0,13.0,163.2,True,20.0,20.0,-2.4,2.4,0.1721,0.0020652,0.0010326,0.0018931000000000002,133.0,0.0,11.5
A8-116Q150.6,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,13.0,16.0,163.2,True,20.0,20.0,-2.4,2.4,0.1398,0.0019572,0.0008388000000000001,0.0015378000000000002,133.0,0.0,14.5
A8-116Q150.7,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,16.0,20.0,163.2,True,20.0,20.0,-2.4,2.4,0.1078,0.0014014,0.0006468,0.0011858,133.0,0.0,18.0
A8-116Q150.8,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,20.0,25.0,163.2,True,20.0,20.0,-2.4,2.4,0.08209,0.0010671699999999999,0.00049254,0.00098508,133.0,0.0,22.5
A8-116Q150.9,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,25.0,30.0,163.2,True,20.0,20.0,-2.4,2.4,0.06068,0.0009102,0.00042476,0.00084952,133.0,0.0,27.5
A8-116Q150.10,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,30.0,37.0,163.2,True,20.0,20.0,-2.4,2.4,0.04451,0.0006676500000000001,0.00031157,0.00062314,133.0,0.0,33.5
A8-116Q150.11,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,37.0,45.0,163.2,True,20.0,20.0,-2.4,2.4,0.03176,0.00050816,0.00025408,0.0004764,133.0,0.0,41.0
A8-116Q150.12,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,45.0,55.0,163.2,True,20.0,20.0,-2.4,2.4,0.02176,0.00036992,0.00017408000000000001,0.0004352,133.0,0.0,50.0
A8-116Q150.13,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,55.0,65.0,163.2,True,20.0,20.0,-2.4,2.4,0.01481,0.00032582,0.00013329,0.00035544,133.0,0.0,60.0
A8-116Q150.14,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,65.0,75.0,163.2,True,20.0,20.0,-2.4,2.4,0.01004,0.00028112,0.00013052000000000002,0.0003012,133.0,0.0,70.0
A8-116Q150.15,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,75.0,85.0,163.2,True,20.0,20.0,-2.4,2.4,0.007255,0.000253925,0.000123335,0.00023941499999999998,133.0,0.0,80.0
A8-116Q150.16,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,85.0,105.0,163.2,True,20.0,20.0,-2.4,2.4,0.004879,0.000131733,4.3911e-05,0.000151249,133.0,0.0,95.0
A8-116Q150.17,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,105.0,150.0,163.2,True,20.0,20.0,-2.4,2.4,0.002125,5.3125000000000004e-05,1.7000000000000003e-05,5.95e-05,133.0,0.0,127.5
A8-116Q150.18,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,150.0,200.0,163.2,True,20.0,20.0,-2.4,2.4,0.0006599,2.6396000000000003e-05,1.0558400000000002e-05,1.5837600000000002e-05,133.0,0.0,175.0
A8-116Q150.19,1,1,1,3,64000000.0,116.0,150.0,-2.4,2.4,200.0,900.0,163.2,True,20.0,20.0,-2.4,2.4,2.57e-05,1.2336000000000001e-06,3.5980000000000003e-07,5.911e-07,133.0,0.0,550.0
