# name: A8-46Q66-norm
# comment: ATLAS 8TeV 46<Q<66 normalized to 1/sigma
# reference: arXiv:1512.02192
# processType: DY
# isNormalized: True
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,Q_avg,y_avg,qT_avg
A8-46Q66-norm.0,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,0.0,2.0,96.0,True,20.0,20.0,-2.4,2.4,0.04347,0.00034776,0.00013041,0.0019126800000000002,56.0,0.0,1.0
A8-46Q66-norm.1,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,2.0,4.0,96.0,True,20.0,20.0,-2.4,2.4,0.08148,0.0004888799999999999,0.00024443999999999996,0.0009777599999999998,56.0,0.0,3.0
A8-46Q66-norm.2,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,4.0,6.0,96.0,True,20.0,20.0,-2.4,2.4,0.0739,0.00044339999999999994,0.00014780000000000001,0.0008129000000000001,56.0,0.0,5.0
A8-46Q66-norm.3,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,6.0,8.0,96.0,True,20.0,20.0,-2.4,2.4,0.05877,0.00035262,0.00011754000000000002,0.00052893,56.0,0.0,7.0
A8-46Q66-norm.4,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,8.0,10.0,96.0,True,20.0,20.0,-2.4,2.4,0.04355,0.0003484,0.00013064999999999998,0.00039194999999999996,56.0,0.0,9.0
A8-46Q66-norm.5,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,10.0,13.0,96.0,True,20.0,20.0,-2.4,2.4,0.03187,0.00019122000000000003,6.374000000000001e-05,0.00031870000000000005,56.0,0.0,11.5
A8-46Q66-norm.6,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,13.0,16.0,96.0,True,20.0,20.0,-2.4,2.4,0.02148,0.00015036,6.444e-05,0.0002148,56.0,0.0,14.5
A8-46Q66-norm.7,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,16.0,20.0,96.0,True,20.0,20.0,-2.4,2.4,0.01456,0.00010191999999999999,2.912e-05,0.00017471999999999998,56.0,0.0,18.0
A8-46Q66-norm.8,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,20.0,25.0,96.0,True,20.0,20.0,-2.4,2.4,0.009327,6.5289e-05,2.7981000000000002e-05,0.000158559,56.0,0.0,22.5
A8-46Q66-norm.9,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,25.0,30.0,96.0,True,20.0,20.0,-2.4,2.4,0.005999,5.3991e-05,2.3996000000000002e-05,6.598900000000001e-05,56.0,0.0,27.5
A8-46Q66-norm.10,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,30.0,37.0,96.0,True,20.0,20.0,-2.4,2.4,0.003768,3.768e-05,1.884e-05,5.6519999999999994e-05,56.0,0.0,33.5
A8-46Q66-norm.11,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,37.0,45.0,96.0,True,20.0,20.0,-2.4,2.4,0.00252,3.0240000000000002e-05,1.5120000000000001e-05,4.284e-05,56.0,0.0,41.0
A8-46Q66-norm.12,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,45.0,55.0,96.0,True,20.0,20.0,-2.4,2.4,0.001712,2.2256e-05,8.56e-06,3.2528e-05,56.0,0.0,50.0
A8-46Q66-norm.13,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,55.0,65.0,96.0,True,20.0,20.0,-2.4,2.4,0.001146,1.9482e-05,8.022e-06,2.4066000000000003e-05,56.0,0.0,60.0
A8-46Q66-norm.14,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,65.0,75.0,96.0,True,20.0,20.0,-2.4,2.4,0.0007712,1.69664e-05,6.1696e-06,1.61952e-05,56.0,0.0,70.0
A8-46Q66-norm.15,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,75.0,85.0,96.0,True,20.0,20.0,-2.4,2.4,0.0005473,1.42298e-05,6.020300000000001e-06,1.36825e-05,56.0,0.0,80.0
A8-46Q66-norm.16,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,85.0,105.0,96.0,True,20.0,20.0,-2.4,2.4,0.0003267,7.187400000000001e-06,2.2869e-06,8.167500000000001e-06,56.0,0.0,95.0
A8-46Q66-norm.17,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,105.0,150.0,96.0,True,20.0,20.0,-2.4,2.4,0.0001191,2.8583999999999996e-06,9.528e-07,2.7392999999999998e-06,56.0,0.0,127.5
A8-46Q66-norm.18,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,150.0,200.0,96.0,True,20.0,20.0,-2.4,2.4,3.363e-05,1.27794e-06,4.0356e-07,7.734899999999999e-07,56.0,0.0,175.0
A8-46Q66-norm.19,1,1,1,3,64000000.0,46.0,66.0,-2.4,2.4,200.0,900.0,96.0,True,20.0,20.0,-2.4,2.4,1.247e-06,6.3597e-08,2.2446e-08,3.741e-08,56.0,0.0,550.0
