# name: CDF1
# comment: CDF run1
# reference: hep-ex/0001021
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.039
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
CDF1.0,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,0.0,0.5,1000.0,False,3.35,0.54,0.0,0.25,0.0,0.0,-100.0,100.0
CDF1.1,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,0.5,1.0,1000.0,False,10.1,1.0,0.0,0.75,0.0,0.0,-100.0,100.0
CDF1.2,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,1.0,1.5,1000.0,False,14.8,1.2,0.0,1.25,0.0,0.0,-100.0,100.0
CDF1.3,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,1.5,2.0,1000.0,False,19.4,1.4,0.0,1.75,0.0,0.0,-100.0,100.0
CDF1.4,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,2.0,2.5,1000.0,False,20.2,1.4,0.0,2.25,0.0,0.0,-100.0,100.0
CDF1.5,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,2.5,3.0,1000.0,False,23.6,1.5,0.0,2.75,0.0,0.0,-100.0,100.0
CDF1.6,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,3.0,3.5,1000.0,False,23.6,1.4,0.0,3.25,0.0,0.0,-100.0,100.0
CDF1.7,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,3.5,4.0,1000.0,False,23.0,1.4,0.0,3.75,0.0,0.0,-100.0,100.0
CDF1.8,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,4.0,4.5,1000.0,False,19.9,1.3,0.0,4.25,0.0,0.0,-100.0,100.0
CDF1.9,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,4.5,5.0,1000.0,False,19.3,1.2,0.0,4.75,0.0,0.0,-100.0,100.0
CDF1.10,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,5.0,5.5,1000.0,False,17.9,1.2,0.0,5.25,0.0,0.0,-100.0,100.0
CDF1.11,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,5.5,6.0,1000.0,False,18.0,1.2,0.0,5.75,0.0,0.0,-100.0,100.0
CDF1.12,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,6.0,6.5,1000.0,False,14.6,1.0,0.0,6.25,0.0,0.0,-100.0,100.0
CDF1.13,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,6.5,7.0,1000.0,False,14.5,1.0,0.0,6.75,0.0,0.0,-100.0,100.0
CDF1.14,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,7.0,7.5,1000.0,False,13.5,1.0,0.0,7.25,0.0,0.0,-100.0,100.0
CDF1.15,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,7.5,8.0,1000.0,False,13.7,1.0,0.0,7.75,0.0,0.0,-100.0,100.0
CDF1.16,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,8.0,8.5,1000.0,False,11.9,0.9,0.0,8.25,0.0,0.0,-100.0,100.0
CDF1.17,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,8.5,9.0,1000.0,False,10.4,0.9,0.0,8.75,0.0,0.0,-100.0,100.0
CDF1.18,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,9.0,9.5,1000.0,False,11.1,0.9,0.0,9.25,0.0,0.0,-100.0,100.0
CDF1.19,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,9.5,10.0,1000.0,False,9.56,0.82,0.0,9.75,0.0,0.0,-100.0,100.0
CDF1.20,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,10.0,10.5,1000.0,False,8.35,0.76,0.0,10.25,0.0,0.0,-100.0,100.0
CDF1.21,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,10.5,11.0,1000.0,False,7.82,0.74,0.0,10.75,0.0,0.0,-100.0,100.0
CDF1.22,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,11.0,11.5,1000.0,False,8.18,0.76,0.0,11.25,0.0,0.0,-100.0,100.0
CDF1.23,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,11.5,12.0,1000.0,False,7.48,0.72,0.0,11.75,0.0,0.0,-100.0,100.0
CDF1.24,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,12.0,13.0,1000.0,False,7.21,0.53,0.0,12.5,0.0,0.0,-100.0,100.0
CDF1.25,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,13.0,14.0,1000.0,False,6.05,0.47,0.0,13.5,0.0,0.0,-100.0,100.0
CDF1.26,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,14.0,15.0,1000.0,False,4.73,0.41,0.0,14.5,0.0,0.0,-100.0,100.0
CDF1.27,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,15.0,16.0,1000.0,False,5.21,0.44,0.0,15.5,0.0,0.0,-100.0,100.0
CDF1.28,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,16.0,17.0,1000.0,False,4.46,0.4,0.0,16.5,0.0,0.0,-100.0,100.0
CDF1.29,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,17.0,18.0,1000.0,False,4.28,0.39,0.0,17.5,0.0,0.0,-100.0,100.0
CDF1.30,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,18.0,19.0,1000.0,False,3.51,0.35,0.0,18.5,0.0,0.0,-100.0,100.0
CDF1.31,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,19.0,20.0,1000.0,False,3.01,0.33,0.0,19.5,0.0,0.0,-100.0,100.0
CDF1.32,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,20.0,22.0,1000.0,False,2.63,0.22,0.0,21.0,0.0,0.0,-100.0,100.0
CDF1.33,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,22.0,24.0,1000.0,False,1.82,0.18,0.0,23.0,0.0,0.0,-100.0,100.0
CDF1.34,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,24.0,26.0,1000.0,False,1.85,0.18,0.0,25.0,0.0,0.0,-100.0,100.0
CDF1.35,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,26.0,28.0,1000.0,False,1.58,0.17,0.0,27.0,0.0,0.0,-100.0,100.0
CDF1.36,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,28.0,30.0,1000.0,False,1.41,0.16,0.0,29.0,0.0,0.0,-100.0,100.0
CDF1.37,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,30.0,34.0,1000.0,False,1.02,0.1,0.0,32.0,0.0,0.0,-100.0,100.0
CDF1.38,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,34.0,38.0,1000.0,False,0.678,0.079,0.0,36.0,0.0,0.0,-100.0,100.0
CDF1.39,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,38.0,42.0,1000.0,False,0.644,0.076,0.0,40.0,0.0,0.0,-100.0,100.0
CDF1.40,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,42.0,46.0,1000.0,False,0.434,0.062,0.0,44.0,0.0,0.0,-100.0,100.0
CDF1.41,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,46.0,50.0,1000.0,False,0.394,0.059,0.0,48.0,0.0,0.0,-100.0,100.0
CDF1.42,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,50.0,60.0,1000.0,False,0.21,0.027,0.0,55.0,0.0,0.0,-100.0,100.0
CDF1.43,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,60.0,70.0,1000.0,False,0.107,0.019,0.0,65.0,0.0,0.0,-100.0,100.0
CDF1.44,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,70.0,80.0,1000.0,False,0.091,0.0175,0.0,75.0,0.0,0.0,-100.0,100.0
CDF1.45,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,80.0,90.0,1000.0,False,0.045,0.0122,0.0,85.0,0.0,0.0,-100.0,100.0
CDF1.46,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,90.0,100.0,1000.0,False,0.0351,0.0107,0.0,95.0,0.0,0.0,-100.0,100.0
CDF1.47,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,100.0,125.0,1000.0,False,0.0181,0.0048,0.0,112.5,0.0,0.0,-100.0,100.0
CDF1.48,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,125.0,150.0,1000.0,False,0.00711,0.00297,0.0,137.5,0.0,0.0,-100.0,100.0
CDF1.49,1,1,-1,3,3240000.0,66.0,116.0,91.0,-10.0,10.0,150.0,200.0,1000.0,False,0.000974,0.000756,0.0,175.0,0.0,0.0,-100.0,100.0
