# name: CMS13-12y16-norm
# comment: CMS 13TeV 1.2<|y|<1.6 normalized
# reference: arXiv:1909.04133
# processType: DY
# isNormalized: True
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,corrErr_0,y_avg,qT_avg
CMS13-12y16-norm.0,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,1.0,2.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.049728,0.0014961,4.9728e-05,1.4,1.5
CMS13-12y16-norm.1,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,2.0,3.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.065013,0.0018308,6.501300000000001e-05,1.4,2.5
CMS13-12y16-norm.2,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,3.0,4.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.073988,0.002006,7.3988e-05,1.4,3.5
CMS13-12y16-norm.3,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,4.0,5.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.076487,0.0019627,7.6487e-05,1.4,4.5
CMS13-12y16-norm.4,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,5.0,6.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.074563,0.0018104,7.456300000000001e-05,1.4,5.5
CMS13-12y16-norm.5,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,6.0,7.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.070182,0.0016397,7.0182e-05,1.4,6.5
CMS13-12y16-norm.6,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,7.0,8.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.065051,0.0014762,6.5051e-05,1.4,7.5
CMS13-12y16-norm.7,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,8.0,9.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.060363,0.0013526,6.0363e-05,1.4,8.5
CMS13-12y16-norm.8,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,9.0,10.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.055968,0.0012312,5.5968e-05,1.4,9.5
CMS13-12y16-norm.9,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,10.0,11.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.051503,0.0010837,5.1503e-05,1.4,10.5
CMS13-12y16-norm.10,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,11.0,12.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.047297,0.00095385,4.7297e-05,1.4,11.5
CMS13-12y16-norm.11,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,12.0,13.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.043749,0.0008608,4.3749000000000004e-05,1.4,12.5
CMS13-12y16-norm.12,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,13.0,14.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.040487,0.00078331,4.0487e-05,1.4,13.5
CMS13-12y16-norm.13,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,14.0,16.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.036266,0.00068533,3.6266e-05,1.4,15.0
CMS13-12y16-norm.14,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,16.0,18.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.030297,0.00054944,3.0297e-05,1.4,17.0
CMS13-12y16-norm.15,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,18.0,20.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.027244,0.00046601,2.7244000000000002e-05,1.4,19.0
CMS13-12y16-norm.16,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,20.0,22.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.023021,0.00037307,2.3021e-05,1.4,21.0
CMS13-12y16-norm.17,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,22.0,25.0,24.00000000000001,True,25.0,25.0,-2.4,2.4,0.019785,0.00031526,1.9785e-05,1.4,23.5
CMS13-12y16-norm.18,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,25.0,28.0,24.00000000000001,True,25.0,25.0,-2.4,2.4,0.015833,0.0002471,1.5833e-05,1.4,26.5
CMS13-12y16-norm.19,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,28.0,32.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.013048,0.00019292,1.3048000000000001e-05,1.4,30.0
CMS13-12y16-norm.20,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,32.0,37.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.010265,0.00013564,1.0265e-05,1.4,34.5
CMS13-12y16-norm.21,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,37.0,43.0,24.00000000000001,True,25.0,25.0,-2.4,2.4,0.0075183,8.3684e-05,7.5183000000000005e-06,1.4,40.0
CMS13-12y16-norm.22,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,43.0,52.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.0052601,5.4304e-05,5.260100000000001e-06,1.4,47.5
CMS13-12y16-norm.23,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,52.0,65.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.0030626,3.2462e-05,3.0626e-06,1.4,58.5
CMS13-12y16-norm.24,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,65.0,85.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.0015933,1.7766e-05,1.5933e-06,1.4,75.0
CMS13-12y16-norm.25,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,85.0,120.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.00069963,8.7514e-06,6.9963e-07,1.4,102.5
CMS13-12y16-norm.26,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,120.0,160.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.00026113,4.0597e-06,2.6113e-07,1.4,140.0
CMS13-12y16-norm.27,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,160.0,190.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,0.00011099,2.2168e-06,1.1099e-07,1.4,175.0
CMS13-12y16-norm.28,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,190.0,220.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,6.241e-05,1.5533e-06,6.241e-08,1.4,205.0
CMS13-12y16-norm.29,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,220.0,250.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,3.4162e-05,1.0257e-06,3.4162000000000005e-08,1.4,235.0
CMS13-12y16-norm.30,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,250.0,300.0,24.00000000000001,True,25.0,25.0,-2.4,2.4,1.7026e-05,5.8419e-07,1.7026e-08,1.4,275.0
CMS13-12y16-norm.31,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,300.0,400.0,24.00000000000001,True,25.0,25.0,-2.4,2.4,5.85e-06,2.2262e-07,5.85e-09,1.4,350.0
CMS13-12y16-norm.32,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,1.2,1.6,400.0,1500.0,24.000000000000007,True,25.0,25.0,-2.4,2.4,2.0433e-07,8.7527e-09,2.0433e-10,1.4,950.0
