# name: CMS8
# comment: CMS 8TeV
# reference: arXiv:1606.05864
# processType: DY
# isNormalized: True
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,y_avg,qT_avg
CMS8.0,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,0.0,2.5,252.0,True,20.0,20.0,-2.1,2.1,0.0333549,0.00205861,0.0,1.25
CMS8.1,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,2.5,5.0,252.0,True,20.0,20.0,-2.1,2.1,0.0553482,0.00264076,0.0,3.75
CMS8.2,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,5.0,7.5,252.0,True,20.0,20.0,-2.1,2.1,0.051878,0.00249936,0.0,6.25
CMS8.3,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,7.5,10.0,252.0,True,20.0,20.0,-2.1,2.1,0.0385965,0.00229056,0.0,8.75
CMS8.4,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,10.0,12.5,252.0,True,20.0,20.0,-2.1,2.1,0.0354796,0.00215988,0.0,11.25
CMS8.5,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,12.5,15.0,252.0,True,20.0,20.0,-2.1,2.1,0.0240797,0.00189679,0.0,13.75
CMS8.6,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,15.0,17.5,252.0,True,20.0,20.0,-2.1,2.1,0.0225014,0.00173219,0.0,16.25
CMS8.7,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,17.5,20.0,252.0,True,20.0,20.0,-2.1,2.1,0.0172383,0.00154885,0.0,18.75
CMS8.8,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,20.0,30.0,252.0,True,20.0,20.0,-2.1,2.1,0.0117412,0.000482165,0.0,25.0
CMS8.9,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,30.0,40.0,252.0,True,20.0,20.0,-2.1,2.1,0.00651165,0.000359578,0.0,35.0
CMS8.10,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,40.0,50.0,252.0,True,20.0,20.0,-2.1,2.1,0.00401844,0.000289945,0.0,45.0
CMS8.11,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,50.0,70.0,252.0,True,20.0,20.0,-2.1,2.1,0.00215843,0.000144729,0.0,60.0
CMS8.12,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,70.0,90.0,252.0,True,20.0,20.0,-2.1,2.1,0.000889498,9.5768e-05,0.0,80.0
CMS8.13,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,90.0,110.0,252.0,True,20.0,20.0,-2.1,2.1,0.000409535,6.58497e-05,0.0,100.0
CMS8.14,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,110.0,150.0,252.0,True,20.0,20.0,-2.1,2.1,0.000164556,2.83107e-05,0.0,130.0
CMS8.15,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,150.0,190.0,252.0,True,20.0,20.0,-2.1,2.1,7.64607e-05,1.88958e-05,0.0,170.0
CMS8.16,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,190.0,250.0,252.0,True,20.0,20.0,-2.1,2.1,8.98327e-06,6.26627e-06,0.0,220.0
CMS8.17,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,250.0,600.0,252.0,True,20.0,20.0,-2.1,2.1,4.43714e-06,1.95776e-06,0.0,425.0
