# name: D02
# comment: D0 run2
# reference: arXiv:0712.0803
# processType: DY
# isNormalized: True
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,uncorrErr_1,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
D02.0,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,0.0,2.5,800.0,False,0.0532,0.0013,0.0024,0.0,1.25,0.0,0.0,-100.0,100.0
D02.1,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,2.5,5.0,800.0,False,0.0808,0.0012,0.0019,0.0,3.75,0.0,0.0,-100.0,100.0
D02.2,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,5.0,7.5,800.0,False,0.0633,0.0011,0.0014,0.0,6.25,0.0,0.0,-100.0,100.0
D02.3,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,7.5,10.0,800.0,False,0.0443,0.0009,0.0011,0.0,8.75,0.0,0.0,-100.0,100.0
D02.4,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,10.0,12.5,800.0,False,0.0315,0.0008,0.0008,0.0,11.25,0.0,0.0,-100.0,100.0
D02.5,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,12.5,15.0,800.0,False,0.0246,0.0007,0.0006,0.0,13.75,0.0,0.0,-100.0,100.0
D02.6,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,15.0,17.5,800.0,False,0.0186,0.0006,0.0005,0.0,16.25,0.0,0.0,-100.0,100.0
D02.7,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,17.5,20.0,800.0,False,0.0142,0.0005,0.0005,0.0,18.75,0.0,0.0,-100.0,100.0
D02.8,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,20.0,22.5,800.0,False,0.0109,0.0004,0.0003,0.0,21.25,0.0,0.0,-100.0,100.0
D02.9,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,22.5,25.0,800.0,False,0.0094,0.0004,0.0002,0.0,23.75,0.0,0.0,-100.0,100.0
D02.10,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,25.0,27.5,800.0,False,0.0069,0.0003,0.0002,0.0,26.25,0.0,0.0,-100.0,100.0
D02.11,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,27.5,30.0,800.0,False,0.0055,0.0003,0.0001,0.0,28.75,0.0,0.0,-100.0,100.0
D02.12,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,30.0,40.0,800.0,False,0.0039,0.0001,0.0001,0.0,35.0,0.0,0.0,-100.0,100.0
D02.13,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,40.0,50.0,800.0,False,0.0021,7e-05,6e-05,0.0,45.0,0.0,0.0,-100.0,100.0
D02.14,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,50.0,60.0,800.0,False,0.0011,5e-05,3e-05,0.0,55.0,0.0,0.0,-100.0,100.0
D02.15,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,60.0,70.0,800.0,False,0.00073,4e-05,2e-05,0.0,65.0,0.0,0.0,-100.0,100.0
D02.16,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,70.0,80.0,800.0,False,0.00042,3e-05,2e-05,0.0,75.0,0.0,0.0,-100.0,100.0
D02.17,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,80.0,90.0,800.0,False,0.00025,2e-05,1e-05,0.0,85.0,0.0,0.0,-100.0,100.0
D02.18,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,90.0,100.0,800.0,False,0.00016,1.7e-05,8e-06,0.0,95.0,0.0,0.0,-100.0,100.0
D02.19,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,100.0,140.0,800.0,False,6e-05,5e-06,3e-06,0.0,120.0,0.0,0.0,-100.0,100.0
D02.20,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,140.0,180.0,800.0,False,1.1e-05,2e-06,7e-07,0.0,160.0,0.0,0.0,-100.0,100.0
D02.21,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,180.0,220.0,800.0,False,3e-06,1e-06,3e-07,0.0,200.0,0.0,0.0,-100.0,100.0
D02.22,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,220.0,260.0,800.0,False,7.1e-07,6.1e-07,6e-08,0.0,240.0,0.0,0.0,-100.0,100.0
