# name: E537-dxF
# comment: E537 data xF-differential
# reference: Phys.Rev.D 93 (1988) 1377
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.08
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
E537-dxF.-01TO0.0,2,-1,184074,1,235.4,4.0,9.0,-0.1,0.0,0.0,0.7071067811865476,0.0070710678118654745,False,0.222,0.0648,6.5,-0.05,0.3535533905932738,0.0,0.0,-100.0,100.0
E537-dxF.-01TO0.1,2,-1,184074,1,235.4,4.0,9.0,-0.1,0.0,0.7071067811865476,1.0,0.0029289321881345244,False,0.134,0.048,6.5,-0.05,0.8535533905932737,0.0,0.0,-100.0,100.0
E537-dxF.-01TO0.2,2,-1,184074,1,235.4,4.0,9.0,-0.1,0.0,1.0,1.224744871391589,0.0022474487139158904,False,0.124,0.0449,6.5,-0.05,1.1123724356957945,0.0,0.0,-100.0,100.0
E537-dxF.-01TO0.3,2,-1,184074,1,235.4,4.0,9.0,-0.1,0.0,1.224744871391589,1.4142135623730951,0.0018946869098150595,False,0.0381,0.0272,6.5,-0.05,1.3194792168823422,0.0,0.0,-100.0,100.0
E537-dxF.-01TO0.4,2,-1,184074,1,235.4,4.0,9.0,-0.1,0.0,1.4142135623730951,1.5811388300841898,0.0016692526771109463,False,0.0366,0.0262,6.5,-0.05,1.4976761962286425,0.0,0.0,-100.0,100.0
E537-dxF.-01TO0.5,2,-1,184074,1,235.4,4.0,9.0,-0.1,0.0,1.5811388300841898,1.7320508075688772,0.001509119774846877,False,0.0488,0.0289,6.5,-0.05,1.6565948188265334,0.0,0.0,-100.0,100.0
E537-dxF.-01TO0.6,2,-1,184074,1,235.4,4.0,9.0,-0.1,0.0,1.7320508075688772,1.8708286933869707,0.0013877788581809335,False,0.0,0.0206,6.5,-0.05,1.801439750477924,0.0,0.0,-100.0,100.0
E537-dxF.-01TO0.7,2,-1,184074,1,235.4,4.0,9.0,-0.1,0.0,1.8708286933869707,2.0,0.0012917130661302934,False,0.0234,0.017,6.5,-0.05,1.9354143466934852,0.0,0.0,-100.0,100.0
E537-dxF.-01TO0.8,2,-1,184074,1,235.4,4.0,9.0,-0.1,0.0,2.0,2.1213203435596424,0.001213203435596426,False,0.0,0.023,6.5,-0.05,2.060660171779821,0.0,0.0,-100.0,100.0
E537-dxF.-01TO0.9,2,-1,184074,1,235.4,4.0,9.0,-0.1,0.0,2.1213203435596424,2.23606797749979,0.0011474763394014702,False,0.00971,0.00997,6.5,-0.05,2.178694160529716,0.0,0.0,-100.0,100.0
