# name: D01_W
# comment: D0 1.8TeV normalized, W-boson production to electron
# reference: arXiv:hep-ph/9803003
# processType: DY
# isNormalized: True
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,uncorrErr_2,y_avg,qT_avg
D01_W.0,1,1,-1,6,3240000.0,49.95998398718719,300.0,80.0,-1.1,1.1,0.0,2.0,550.0880352281882,True,25.0,25.0,-20.1,20.1,37.4,1.6,1.9,6.1,0.0,1.0
D01_W.1,1,1,-1,6,3240000.0,49.839743177508446,300.0,80.0,-1.1,1.1,2.0,4.0,550.3525650094815,True,25.0,25.0,-20.1,20.1,90.8,2.6,4.6,7.9,0.0,3.0
D01_W.2,1,1,-1,6,3240000.0,49.63869458396343,300.0,80.0,-1.1,1.1,4.0,6.0,550.7948719152805,True,25.0,25.0,-20.1,20.1,92.4,2.6,4.8,4.4,0.0,5.0
D01_W.3,1,1,-1,6,3240000.0,49.35585071701227,300.0,80.0,-1.1,1.1,6.0,8.0,551.4171284225731,True,25.0,25.0,-20.1,20.1,74.2,2.3,3.9,3.7,0.0,7.0
D01_W.4,1,1,-1,6,3240000.0,48.98979485566356,300.0,80.0,-1.1,1.1,8.0,10.0,552.2224513175403,True,25.0,25.0,-20.1,20.1,53.0,1.9,2.8,2.6,0.0,9.0
D01_W.5,1,1,-1,6,3240000.0,48.53864439804639,300.0,80.0,-1.1,1.1,10.0,12.0,553.214982324298,True,25.0,25.0,-20.1,20.1,31.8,1.5,1.7,2.0,0.0,11.0
D01_W.6,1,1,-1,6,3240000.0,48.0,300.0,80.0,-1.1,1.1,12.0,14.0,554.4000000000001,True,25.0,25.0,-20.1,20.1,27.2,1.4,1.4,1.6,0.0,13.0
D01_W.7,1,1,-1,6,3240000.0,47.37087712930804,300.0,80.0,-1.1,1.1,14.0,16.0,555.7840703155224,True,25.0,25.0,-20.1,20.1,16.8,1.1,1.1,1.2,0.0,15.0
D01_W.8,1,1,-1,6,3240000.0,46.647615158762406,300.0,80.0,-1.1,1.1,16.0,18.0,557.3752466507228,True,25.0,25.0,-20.1,20.1,13.6,1.0,0.8,0.8,0.0,17.0
D01_W.9,1,1,-1,6,3240000.0,45.8257569495584,300.0,80.0,-1.1,1.1,18.0,20.0,559.1833347109715,True,25.0,25.0,-20.1,20.1,12.4,0.9,0.7,0.9,0.0,19.0
D01_W.10,1,1,-1,6,3240000.0,43.30127018922193,300.0,80.0,-1.1,1.1,20.0,25.0,564.7372055837118,True,25.0,25.0,-20.1,20.1,7.43,0.46,0.42,0.65,0.0,22.5
D01_W.11,1,1,-1,6,3240000.0,40.0,300.0,80.0,-1.1,1.1,25.0,30.0,572.0,True,25.0,25.0,-20.1,20.1,4.29,0.34,0.3,0.43,0.0,27.5
D01_W.12,1,1,-1,6,3240000.0,35.70714214271425,300.0,80.0,-1.1,1.1,30.0,35.0,581.4442872860287,True,25.0,25.0,-20.1,20.1,2.45,0.25,0.22,0.26,0.0,32.5
D01_W.13,1,1,-1,6,3240000.0,30.0,300.0,80.0,-1.1,1.1,35.0,40.0,594.0,True,25.0,25.0,-20.1,20.1,1.67,0.2,0.19,0.18,0.0,37.5
D01_W.14,1,1,-1,6,3240000.0,10.0,300.0,80.0,-1.1,1.1,40.0,50.0,638.0,True,25.0,25.0,-20.1,20.1,0.875,0.099,0.147,0.15,0.0,45.0
D01_W.15,1,1,-1,6,3240000.0,10.0,300.0,80.0,-1.1,1.1,50.0,70.0,638.0,True,25.0,25.0,-20.1,20.1,0.333,0.037,0.144,0.045,0.0,60.0
D01_W.16,1,1,-1,6,3240000.0,10.0,300.0,80.0,-1.1,1.1,70.0,90.0,638.0,True,25.0,25.0,-20.1,20.1,0.186,0.028,0.066,0.02,0.0,80.0
D01_W.17,1,1,-1,6,3240000.0,10.0,300.0,80.0,-1.1,1.1,90.0,120.0,638.0,True,25.0,25.0,-20.1,20.1,0.052,0.011,0.035,0.01,0.0,105.0
D01_W.18,1,1,-1,6,3240000.0,10.0,300.0,80.0,-1.1,1.1,120.0,150.0,638.0,True,25.0,25.0,-20.1,20.1,0.025,0.008,0.009,0.002,0.0,135.0
D01_W.19,1,1,-1,6,3240000.0,10.0,300.0,80.0,-1.1,1.1,150.0,200.0,638.0,True,25.0,25.0,-20.1,20.1,0.011,0.005,0.002,0.001,0.0,175.0
