# name: A8-A2-10y20
# comment: ATLAS 8TeV angular coefficient A2, 1<|y|<2
# reference: 1606.00689
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,uncorrErr_2,y_avg,qT_avg
A8-A2-10y20.0,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,0.0,2.5,1.0,False,20.0,20.0,2.0,4.5,0.039398,0.0147557,0.00807233,0.00708333,1.5,1.25
A8-A2-10y20.1,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,2.5,5.0,1.0,False,20.0,20.0,2.0,4.5,0.0103091,0.00608668,0.00391273,0.00371293,1.5,3.75
A8-A2-10y20.2,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,5.0,8.0,1.0,False,20.0,20.0,2.0,4.5,0.00301316,0.00425977,0.00155211,0.00230636,1.5,6.5
A8-A2-10y20.3,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,8.0,11.4,1.0,False,20.0,20.0,2.0,4.5,0.00922415,0.00398164,0.00147389,0.00192019,1.5,9.7
A8-A2-10y20.4,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,11.4,14.9,1.0,False,20.0,20.0,2.0,4.5,0.0251818,0.00374636,0.00263607,0.00197624,1.5,13.15
A8-A2-10y20.5,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,14.9,18.5,1.0,False,20.0,20.0,2.0,4.5,0.0465995,0.00403956,0.00260617,0.00216171,1.5,16.7
A8-A2-10y20.6,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,18.5,22.0,1.0,False,20.0,20.0,2.0,4.5,0.0704931,0.00465987,0.00281497,0.00234395,1.5,20.25
A8-A2-10y20.7,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,22.0,25.5,1.0,False,20.0,20.0,2.0,4.5,0.0970847,0.00510954,0.00296652,0.00250001,1.5,23.75
A8-A2-10y20.8,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,25.5,29.0,1.0,False,20.0,20.0,2.0,4.5,0.122989,0.0054602,0.00308913,0.00266073,1.5,27.25
A8-A2-10y20.9,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,29.0,32.6,1.0,False,20.0,20.0,2.0,4.5,0.151208,0.0058907,0.00336267,0.00286967,1.5,30.8
A8-A2-10y20.10,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,32.6,36.4,1.0,False,20.0,20.0,2.0,4.5,0.179332,0.00656243,0.00386484,0.00315662,1.5,34.5
A8-A2-10y20.11,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,36.4,40.4,1.0,False,20.0,20.0,2.0,4.5,0.210437,0.00742,0.00443755,0.00352583,1.5,38.4
A8-A2-10y20.12,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,40.4,44.9,1.0,False,20.0,20.0,2.0,4.5,0.244286,0.00807769,0.00495042,0.00395897,1.5,42.65
A8-A2-10y20.13,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,44.9,50.2,1.0,False,20.0,20.0,2.0,4.5,0.2827,0.00861738,0.00535783,0.00443271,1.5,47.55
A8-A2-10y20.14,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,50.2,56.4,1.0,False,20.0,20.0,2.0,4.5,0.326502,0.00968377,0.00596562,0.00495102,1.5,53.3
A8-A2-10y20.15,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,56.4,63.9,1.0,False,20.0,20.0,2.0,4.5,0.376278,0.0118449,0.00709296,0.00559217,1.5,60.15
A8-A2-10y20.16,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,63.9,73.4,1.0,False,20.0,20.0,2.0,4.5,0.432093,0.0151708,0.00888171,0.00657039,1.5,68.65
A8-A2-10y20.17,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,73.4,85.4,1.0,False,20.0,20.0,2.0,4.5,0.495155,0.018988,0.0108732,0.00831225,1.5,79.4
A8-A2-10y20.18,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,85.4,105.0,1.0,False,20.0,20.0,2.0,4.5,0.562414,0.0224744,0.0125437,0.0115477,1.5,95.2
A8-A2-10y20.19,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,105.0,132.0,1.0,False,20.0,20.0,2.0,4.5,0.634247,0.0266282,0.0139023,0.0174157,1.5,118.5
A8-A2-10y20.20,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,132.0,173.0,1.0,False,20.0,20.0,2.0,4.5,0.705566,0.0352143,0.0174907,0.0275849,1.5,152.5
A8-A2-10y20.21,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,173.0,253.0,1.0,False,20.0,20.0,2.0,4.5,0.77427,0.0559769,0.0259346,0.0443886,1.5,213.0
A8-A2-10y20.22,1,1,1,22,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,253.0,600.0,1.0,False,20.0,20.0,2.0,4.5,0.831341,0.0962492,0.0420457,0.0709743,1.5,426.5
