# name: A8-A3-20y35
# comment: ATLAS 8TeV angular coefficient A3, 2<|y|<3.5
# reference: 1606.00689
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,uncorrErr_2,y_avg,qT_avg
A8-A3-20y35.0,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,0.0,2.5,1.0,False,20.0,20.0,2.0,4.5,0.00350018,0.0639286,0.0200752,0.00168345,2.75,1.25
A8-A3-20y35.1,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,2.5,5.0,1.0,False,20.0,20.0,2.0,4.5,0.0199368,0.0293844,0.00856758,0.00099569,2.75,3.75
A8-A3-20y35.2,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,5.0,8.0,1.0,False,20.0,20.0,2.0,4.5,0.0046196,0.0185922,0.00548679,0.000550069,2.75,6.5
A8-A3-20y35.3,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,8.0,11.4,1.0,False,20.0,20.0,2.0,4.5,0.00318165,0.0148254,0.00466232,0.0002997,2.75,9.7
A8-A3-20y35.4,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,11.4,14.9,1.0,False,20.0,20.0,2.0,4.5,0.0118433,0.0147336,0.00443298,0.00020199,2.75,13.15
A8-A3-20y35.5,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,14.9,18.5,1.0,False,20.0,20.0,2.0,4.5,0.00880112,0.0159482,0.0046369,0.000218632,2.75,16.7
A8-A3-20y35.6,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,18.5,22.0,1.0,False,20.0,20.0,2.0,4.5,0.0077855,0.0183775,0.00539227,0.00031561,2.75,20.25
A8-A3-20y35.7,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,22.0,25.5,1.0,False,20.0,20.0,2.0,4.5,0.0290716,0.0216115,0.00633941,0.000463196,2.75,23.75
A8-A3-20y35.8,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,25.5,29.0,1.0,False,20.0,20.0,2.0,4.5,0.0153823,0.0231394,0.00625477,0.000635948,2.75,27.25
A8-A3-20y35.9,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,29.0,32.6,1.0,False,20.0,20.0,2.0,4.5,0.0257536,0.0248689,0.00725029,0.000812717,2.75,30.8
A8-A3-20y35.10,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,32.6,36.4,1.0,False,20.0,20.0,2.0,4.5,0.0256428,0.0264369,0.00759642,0.000976638,2.75,34.5
A8-A3-20y35.11,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,36.4,40.4,1.0,False,20.0,20.0,2.0,4.5,0.0311783,0.0273928,0.00832438,0.00111514,2.75,38.4
A8-A3-20y35.12,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,40.4,44.9,1.0,False,20.0,20.0,2.0,4.5,0.0516064,0.0261638,0.00803708,0.00121993,2.75,42.65
A8-A3-20y35.13,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,44.9,50.2,1.0,False,20.0,20.0,2.0,4.5,0.0397584,0.0238783,0.00844638,0.00128702,2.75,47.55
A8-A3-20y35.14,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,50.2,56.4,1.0,False,20.0,20.0,2.0,4.5,0.0722552,0.0251354,0.00980235,0.00131669,2.75,53.3
A8-A3-20y35.15,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,56.4,63.9,1.0,False,20.0,20.0,2.0,4.5,0.0753644,0.0267809,0.0115602,0.00131353,2.75,60.15
A8-A3-20y35.16,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,63.9,73.4,1.0,False,20.0,20.0,2.0,4.5,0.092305,0.0292464,0.0127776,0.0012864,2.75,68.65
A8-A3-20y35.17,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,73.4,85.4,1.0,False,20.0,20.0,2.0,4.5,0.119448,0.0344839,0.0163648,0.00124846,2.75,79.4
A8-A3-20y35.18,1,1,1,23,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,85.4,105.0,1.0,False,20.0,20.0,2.0,4.5,0.140492,0.0530029,0.0302013,0.00121716,2.75,95.2
