# name: E143.p
# comment: g2bar data taken from page 86 in the paper. Bin in Q guessed by us. Additional normalization uncertainty 3.7%. The E143 experiment is the only one which presents g2-bar, therefore the uncertainties are solely the stat+syst of said g2-bar, unlike the rest of the experimental tables
# reference: hep-ph/9802357
# processType: G2
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,thFactor,xSec,uncorrErr_0,uncorrErr_1
E143.p.0,1,1,100,55.471444,1.1221109984221642,1.3192001247245764,1.2206555615733703,0.029,0.047,0.038,1.0,0.223,0.983,0.332
E143.p.1,1,1,100,55.471444,1.3192001247245764,1.5150981187677464,1.4177446878757824,0.047,0.075,0.06,1.0,0.223,0.375,0.138
E143.p.2,1,1,100,55.471444,1.5150981187677464,1.702049418188301,1.61245154965971,0.075,0.12,0.095,1.0,-0.295,0.204,0.074
E143.p.3,1,1,100,55.471444,1.702049418188301,1.866648035305826,1.7916472867168918,0.12,0.193,0.152,1.0,-0.127,0.127,0.049
E143.p.4,1,1,100,55.471444,1.866648035305826,1.997956321156087,1.9416487838947598,0.193,0.31,0.241,1.0,0.027,0.08,0.026
E143.p.5,1,1,100,55.471444,1.997956321156087,2.093668379593784,2.0542638584174138,0.31,0.498,0.379,1.0,0.051,0.05,0.009
E143.p.6,1,1,100,55.471444,2.093668379593784,2.1724774219465246,2.1330729007701543,0.498,0.799,0.595,1.0,-0.005,0.022,0.004
E143.p.7,1,1,100,55.471444,1.7939330739693995,2.0842108119636635,1.9390719429665315,0.075,0.12,0.101,1.0,0.0,0.368,0.116
E143.p.8,1,1,100,55.471444,2.0842108119636635,2.376617786892794,2.2293496809607953,0.12,0.193,0.155,1.0,0.198,0.142,0.049
E143.p.9,1,1,100,55.471444,2.376617786892794,2.654781774130808,2.5238858928247927,0.193,0.31,0.243,1.0,0.023,0.071,0.021
E143.p.10,1,1,100,55.471444,2.654781774130808,2.8802863057827635,2.7856776554368237,0.31,0.498,0.382,1.0,0.043,0.035,0.007
E143.p.11,1,1,100,55.471444,2.8802863057827635,3.069503606474643,2.9748949561287032,0.498,0.799,0.584,1.0,0.001,0.012,0.002
