# name: E155-32.d
# comment: Taken from tables 1,2, 3. Bin in Q and x guessed by us.
# reference: hep-ex/0204028v1
# processType: G2
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,thFactor,xSec,uncorrErr_0,uncorrErr_1,uncorrErr_2
E155-32.d.0,1,1,102,61.50788224999999,0.8672991374746168,0.9215552445252149,0.8944271909999159,0.018500000000000003,0.0235,0.021,1.0,0.006,0.031,0.0008811,0.0
E155-32.d.1,1,1,102,61.50788224999999,0.9215552445252149,0.9987460731103327,0.9486832980505138,0.0235,0.032,0.026,1.0,-0.01,0.022,0.0008766,0.0
E155-32.d.2,1,1,102,61.50788224999999,0.9987460731103327,1.0944921366346447,1.0488088481701516,0.032,0.0495,0.038,1.0,-0.0013586936443929594,0.014,0.0008658,0.0015581376163911083
E155-32.d.3,1,1,102,61.50788224999999,1.0944921366346447,1.202543244583245,1.140175425099138,0.0495,0.0795,0.061,1.0,0.005536833109066525,0.013,0.0008451,0.0018979175288762666
E155-32.d.4,1,1,102,61.50788224999999,1.202543244583245,1.3032759252836128,1.2649110640673518,0.0795,0.1265,0.098,1.0,-0.019784802383713378,0.013,0.0008118,0.003117188822370597
E155-32.d.5,1,1,102,61.50788224999999,1.3032759252836128,1.3779271744364845,1.3416407864998738,0.1265,0.2,0.155,1.0,0.012636193018157734,0.013,0.0007605,0.0025129437497204894
E155-32.d.6,1,1,102,61.50788224999999,1.3779271744364845,1.4316756184960195,1.4142135623730951,0.2,0.3125,0.245,1.0,0.01408961983113894,0.014,0.0006795,0.0015072154623515413
E155-32.d.7,1,1,102,61.50788224999999,1.4316756184960195,1.4665997307418683,1.449137674618944,0.3125,0.4475,0.38,1.0,0.011944313540857197,0.025,0.0005579999999999999,0.001577909352045106
E155-32.d.8,1,1,102,61.50788224999999,1.5293371620797624,1.7569981829512344,1.6431676725154984,0.042499999999999996,0.0795,0.061,1.0,0.0679347525032511,0.061,0.0008451,0.0024868355383097468
E155-32.d.9,1,1,102,61.50788224999999,1.7569981829512344,1.9842231948636369,1.8708286933869707,0.0795,0.1265,0.098,1.0,-0.010242679212766108,0.016,0.0008118,0.0036586067018188903
E155-32.d.10,1,1,102,61.50788224999999,1.9842231948636369,2.199895291492285,2.0976176963403033,0.1265,0.2,0.155,1.0,0.015221976259020768,0.011,0.0007605,0.002707509133296582
E155-32.d.11,1,1,102,61.50788224999999,2.199895291492285,2.3859953468449806,2.3021728866442674,0.2,0.3125,0.245,1.0,0.015618972631643368,0.01,0.0006795,0.00159831106099188
E155-32.d.12,1,1,102,61.50788224999999,2.3859953468449806,2.5291268140773253,2.4698178070456938,0.3125,0.48,0.38,1.0,-0.0036174595792860774,0.009,0.0005579999999999999,0.0012794793179893788
E155-32.d.13,1,1,102,61.50788224999999,2.5291268140773253,2.6170935660867736,2.588435821108957,0.48,0.6799999999999999,0.58,1.0,0.002768797956573305,0.007,0.00037799999999999997,0.00115331655739555
E155-32.d.14,1,1,102,61.50788224999999,2.6170935660867736,2.674409056042408,2.6457513110645907,0.6799999999999999,0.8800000000000001,0.78,1.0,-0.0009012531279530426,0.004,0.00019799999999999993,0.001472625018819307
E155-32.d.15,1,1,102,61.50788224999999,2.4236605060870406,2.9055045317026504,2.6645825188948455,0.11,0.2,0.155,1.0,0.02026281519644605,0.029,0.0007605,0.002803162859994314
E155-32.d.16,1,1,102,61.50788224999999,2.9055045317026504,3.382909379340613,3.146426544510455,0.2,0.3125,0.245,1.0,-0.002854070803696398,0.018,0.0006795,0.0016419268799516948
E155-32.d.17,1,1,102,61.50788224999999,3.382909379340613,3.8283590309040205,3.6193922141707713,0.3125,0.48,0.38,1.0,-0.009086615265130136,0.015,0.0005579999999999999,0.0011601067323766337
E155-32.d.18,1,1,102,61.50788224999999,3.8283590309040205,4.163423982771357,4.03732584763727,0.48,0.6799999999999999,0.58,1.0,0.02189567730143743,0.012,0.00037799999999999997,0.0010731960588890722
E155-32.d.19,1,1,102,61.50788224999999,4.163423982771357,4.41562025303953,4.2895221179054435,0.6799999999999999,0.8800000000000001,0.78,1.0,-0.010215037858706687,0.007,0.00019799999999999993,0.0011811933602480758
