# name: RSS.p
# comment: Extracted from FIG 4 (in the paper) with the aid of ''Plot Digitalizer'' because there are no Datasets. Bin in x guessed by us. All measurements at the same energy of Q^2 1.36 GeV^2, we assume there's no bin on Q then.
# reference: nucl-ex/0608003v3
# processType: G2
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,thFactor,xSec,uncorrErr_0,uncorrErr_1
RSS.p.0,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.28570000000000007,0.30369999999999997,0.2947,1.0,0.11549103688088955,0.016341115,0.006435755047898555
RSS.p.1,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.30369999999999997,0.3206,0.3127,1.0,0.12326348038430429,0.010397275,0.006326104260516411
RSS.p.2,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.3206,0.3355,0.3285,1.0,0.12138444202671451,0.00831762,0.006266428681002576
RSS.p.3,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.3355,0.34965,0.3425,1.0,0.10739691940870952,0.0073843,0.0062658017542478045
RSS.p.4,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.34965,0.3638,0.3568,1.0,0.08792470288442543,0.007089616,0.006385921915879413
RSS.p.5,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.3638,0.3778,0.3708,1.0,0.09261905745746346,0.007512408,0.00654323843894399
RSS.p.6,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.3778,0.39225,0.3848,1.0,0.10554771197267726,0.007495904,0.0066649103043310755
RSS.p.7,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.39225,0.407615,0.3997,1.0,0.10155980267104617,0.00695478,0.0064586831734402906
RSS.p.8,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.407615,0.423425,0.41553,1.0,0.10141763191339839,0.0066360141,0.006013449430431255
RSS.p.9,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.423425,0.43966,0.43132,1.0,0.07939531576366701,0.005995348,0.005722485400471898
RSS.p.10,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.43966,0.4561,0.448,1.0,0.057152768203817754,0.005936,0.005330870658537035
RSS.p.11,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.4561,0.4719,0.4642,1.0,0.04054221285371426,0.006029958,0.005240666994273067
RSS.p.12,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.4719,0.48925,0.4796,1.0,0.03549789473335043,0.005544176,0.005038252035011382
RSS.p.13,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.48925,0.5098,0.4989,1.0,0.04436314352086149,0.004859286,0.004822437502790313
RSS.p.14,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.5098,0.5317000000000001,0.5207,1.0,0.04573993463562074,0.004259326,0.0047192120944590564
RSS.p.15,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.5317000000000001,0.55345,0.5427,1.0,0.0434998668803159,0.003663225,0.0042867442431528315
RSS.p.16,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.55345,0.57405,0.5642,1.0,0.03882033301308212,0.003221582,0.0037768488893136737
RSS.p.17,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.57405,0.5944499999999999,0.5839,1.0,0.027241652091561125,0.003182255,0.0033394968223579946
RSS.p.18,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.5944499999999999,0.6174999999999999,0.605,1.0,0.03196970711493834,0.00291005,0.003914824833195093
RSS.p.19,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.6174999999999999,0.6423,0.63,1.0,0.0244980074542501,0.0031878,0.004078732485739536
RSS.p.20,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.6423,0.6671,0.6546,1.0,0.023485941365115105,0.003482472,0.003687409404580649
RSS.p.21,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.6671,0.69275,0.6796,1.0,0.025847618791269976,0.003880516,0.0033527887925273855
RSS.p.22,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.69275,0.71905,0.7059,1.0,0.021107120414748732,0.00430599,0.0029115076385773948
RSS.p.23,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.71905,0.74625,0.7322,1.0,0.02021074702008577,0.003617068,0.002611139251836897
RSS.p.24,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.74625,0.7760499999999999,0.7603,1.0,0.0025750127613378276,0.003558204,0.0024999803249122956
RSS.p.25,1,1,100,11.676224,0.8944271909999159,1.1832159566199232,1.140175425099138,0.7760499999999999,0.80755,0.7918,1.0,0.0025077053490075033,0.002676284,0.0027665324481110174
