# name: hermes3D.d.pi+.no-vmsub
# comment: HERMES deutron-to-pi+ (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.d.pi+.no-vmsub.0,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1509102,0.0,0.15,0.1104111,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,3.788645,0.04791506,0.4789479,0.11420317119107135
hermes3D.d.pi+.no-vmsub.1,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1548277,0.15,0.25,0.2226635,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,7.916169,0.06140723,0.5167135,0.23862135499220752
hermes3D.d.pi+.no-vmsub.2,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1564604,0.25,0.35,0.3287458,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,8.676877,0.05965018,0.3927892,0.2615517868353645
hermes3D.d.pi+.no-vmsub.3,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1589897,0.35,0.45,0.4397235,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,6.753929,0.05753435,0.2428932,0.20358732734245127
hermes3D.d.pi+.no-vmsub.4,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1615771,0.45,0.6,0.5778117,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,4.208369,0.0485495,0.3036432,0.12685513827297035
hermes3D.d.pi+.no-vmsub.5,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1665684,0.6,0.8,0.7812505,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,1.623211,0.04871609,0.2839429,0.048929325316103806
hermes3D.d.pi+.no-vmsub.6,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1182092827373595,0.023,0.047,0.03752366,0.1,0.2,0.1690838,0.8,1.2,1.034574,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,0.2115765,0.04620996,0.03612126,0.006377664639866682
hermes3D.d.pi+.no-vmsub.7,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.2,0.25,0.2287176,0.0,0.15,0.1037035,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,1.720104,0.04697515,0.08560432,0.051850023313993944
hermes3D.d.pi+.no-vmsub.8,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.2,0.25,0.233352,0.15,0.25,0.2124866,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,3.986803,0.06733474,0.2411139,0.12017635474267893
hermes3D.d.pi+.no-vmsub.9,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.2,0.25,0.2352547,0.25,0.35,0.315913,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,4.603528,0.06423789,0.353216,0.1387666293006841
