# name: hermes3D.p.k+
# comment: HERMES proton-to-k+ (zxpt-3D) vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.p.k+.0,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1517822,0.0,0.15,0.1045042,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.4605952,0.02500453,0.202601,0.012400413736431403
hermes3D.p.k+.1,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1510978,0.15,0.25,0.2130929,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.9250174,0.03153814,0.2155386,0.02490386020826544
hermes3D.p.k+.2,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1555415,0.25,0.35,0.3257736,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,1.001128,0.0306892,0.06813981,0.026952954358026523
hermes3D.p.k+.3,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1548745,0.35,0.45,0.4361345,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.8644396,0.03135082,0.1802745,0.023272949197376065
hermes3D.p.k+.4,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1593262,0.45,0.6,0.577714,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.6087434,0.02743413,0.2204129,0.01638894634447332
hermes3D.p.k+.5,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1570191,0.6,0.8,0.7425539,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.3059628,0.02854099,0.1169617,0.008237309698314299
hermes3D.p.k+.6,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1747199,0.8,1.2,1.012328,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.0542939,0.03362217,0.02075511,0.001461732174726165
hermes3D.p.k+.7,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2283779,0.0,0.15,0.09910979,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.3318709,0.02770919,0.06871946,0.008934822740406008
hermes3D.p.k+.8,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2301947,0.15,0.25,0.2100173,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.6468696,0.03627413,0.06620569,0.01741540223067867
hermes3D.p.k+.9,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2309547,0.25,0.35,0.3074415,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.664397,0.0328015,0.2074024,0.017887285158950453
hermes3D.p.k+.10,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2326686,0.35,0.45,0.4123093,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.5507664,0.02635609,0.2711555,0.014828055594424069
hermes3D.p.k+.11,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2393137,0.45,0.6,0.553116,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.4181532,0.01942655,0.2058351,0.011257765354942361
hermes3D.p.k+.12,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2383969,0.6,0.8,0.7319698,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1975887,0.01279214,0.09718587,0.005319598705422079
hermes3D.p.k+.13,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2566289,0.8,1.2,1.05627,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.06112868,0.008732074,0.0300803,0.0016457421248895333
hermes3D.p.k+.14,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2736701,0.0,0.15,0.0983582,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.2005947,0.02195767,0.01722802,0.0054005279979803
hermes3D.p.k+.15,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2798066,0.15,0.25,0.2039941,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.4833919,0.0315171,0.105392,0.01301415984543407
hermes3D.p.k+.16,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.282553,0.25,0.35,0.3071736,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.5719636,0.030905,0.2559078,0.015398739027629374
hermes3D.p.k+.17,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2834857,0.35,0.45,0.4129904,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.4854378,0.02666248,0.2174382,0.013069240763479602
hermes3D.p.k+.18,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2864452,0.45,0.6,0.5438605,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.3515523,0.0165577,0.1574309,0.009464696918235477
hermes3D.p.k+.19,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2859152,0.6,0.8,0.7129083,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.2137533,0.01151043,0.09566898,0.005754791533927281
hermes3D.p.k+.20,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2920116,0.8,1.2,0.9804633,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.05024533,0.004877731,0.02247928,0.0013527342020141088
hermes3D.p.k+.21,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3384978,0.0,0.15,0.1003297,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1493616,0.01492291,0.005063339,0.004021200473507698
hermes3D.p.k+.22,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.335436,0.15,0.25,0.2013487,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.3277741,0.02050847,0.09541592,0.008824526291386537
hermes3D.p.k+.23,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3432446,0.25,0.35,0.3082235,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.377085,0.02074012,0.1098784,0.010152103221662396
hermes3D.p.k+.24,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3422826,0.35,0.45,0.4063505,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.4180604,0.02141358,0.1219309,0.01125526693899113
hermes3D.p.k+.25,1,1,2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3454118,0.45,0.6,0.5348308,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.2926854,0.01254007,0.08537295,0.00787984775918837
