# name: hermes3D.p.k-.no-vmsub
# comment: HERMES proton-to-k- (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.p.k-.no-vmsub.0,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1492554,0.0,0.15,0.1067939,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.2874711,0.02006785,0.02779402,0.007739465320669962
hermes3D.p.k-.no-vmsub.1,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1511672,0.15,0.25,0.213508,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.5791951,0.02503585,0.02982662,0.015593429705984256
hermes3D.p.k-.no-vmsub.2,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1518241,0.25,0.35,0.3168185,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.7039968,0.02425432,0.03610476,0.01895341416741588
hermes3D.p.k-.no-vmsub.3,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.151976,0.35,0.45,0.4237499,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.6270463,0.02491502,0.02765005,0.016881707737941006
hermes3D.p.k-.no-vmsub.4,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1526828,0.45,0.6,0.5546972,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.4494353,0.02226225,0.01857339,0.012099960372485794
hermes3D.p.k-.no-vmsub.5,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.155791,0.6,0.8,0.7346679,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.1621317,0.02148063,0.004985833,0.004365004584917461
hermes3D.p.k-.no-vmsub.6,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.1180456162429153,0.023,0.047,0.03758863,0.1,0.2,0.1478494,0.8,1.2,0.8994808,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.005983145,0.01754469,0.0001809396,0.00016108173390660794
hermes3D.p.k-.no-vmsub.7,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2296836,0.0,0.15,0.1042003,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1387471,0.01737857,0.004674829,0.0037354306877927118
hermes3D.p.k-.no-vmsub.8,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2252717,0.15,0.25,0.2044803,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.3973029,0.02670102,0.01413338,0.010696421366709927
hermes3D.p.k-.no-vmsub.9,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2328072,0.25,0.35,0.3144368,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.4104288,0.0249637,0.01160645,0.011049804534105125
hermes3D.p.k-.no-vmsub.10,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2333894,0.35,0.45,0.4157519,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.3867674,0.02260191,0.008461565,0.01041277846526377
hermes3D.p.k-.no-vmsub.11,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2332827,0.45,0.6,0.5441331,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.2706343,0.01422219,0.007793275,0.007286175130069739
hermes3D.p.k-.no-vmsub.12,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.236652,0.6,0.8,0.7277577,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1384074,0.01018846,0.003968887,0.0037262850854367477
hermes3D.p.k-.no-vmsub.13,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.1180456162429153,0.023,0.047,0.03758863,0.2,0.25,0.2470212,0.8,1.2,1.02915,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.03777216,0.007842878,0.000936174,0.0010169242139707161
hermes3D.p.k-.no-vmsub.14,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2783266,0.0,0.15,0.1053194,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1242235,0.01775717,0.00404088,0.003344417822390651
hermes3D.p.k-.no-vmsub.15,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2760336,0.15,0.25,0.2048223,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.2425164,0.02029843,0.00950988,0.006529168558139322
hermes3D.p.k-.no-vmsub.16,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2804486,0.25,0.35,0.3086946,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.2619652,0.02110887,0.01032489,0.007052780542539306
hermes3D.p.k-.no-vmsub.17,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2769213,0.35,0.45,0.4040598,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.2639177,0.01800813,0.01152126,0.007105346891082195
hermes3D.p.k-.no-vmsub.18,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2861604,0.45,0.6,0.5450003,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.201626,0.012636,0.009532777,0.005428293260593506
hermes3D.p.k-.no-vmsub.19,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2950741,0.6,0.8,0.7434569,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1051248,0.008164731,0.004550282,0.0028302314352377186
hermes3D.p.k-.no-vmsub.20,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.30285,0.8,1.2,1.03269,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.02889205,0.003624438,0.001057333,0.0007778486916356551
hermes3D.p.k-.no-vmsub.21,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3341398,0.0,0.15,0.1031244,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1070292,0.0125591,0.003221051,0.002881502807409335
hermes3D.p.k-.no-vmsub.22,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3330176,0.15,0.25,0.2065466,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1892749,0.01564404,0.007982923,0.005095769712584239
hermes3D.p.k-.no-vmsub.23,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.33616,0.25,0.35,0.3011856,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.2005206,0.01484553,0.01242353,0.005398533034381311
hermes3D.p.k-.no-vmsub.24,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.337424,0.35,0.45,0.4025565,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.2181497,0.01489294,0.01348703,0.005873153989616891
hermes3D.p.k-.no-vmsub.25,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3482385,0.45,0.6,0.5371654,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.164179,0.008927064,0.009947601,0.004420123194582947
hermes3D.p.k-.no-vmsub.26,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3518247,0.6,0.8,0.7159694,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.09879471,0.005483341,0.006064141,0.0026598090448418845
hermes3D.p.k-.no-vmsub.27,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3400903,0.8,1.2,0.9523436,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.02842819,0.002152783,0.00177897,0.0007653603810414912
hermes3D.p.k-.no-vmsub.28,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4197386,0.0,0.15,0.09975717,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.03966481,0.00672094,0.001326245,0.001067879245760576
hermes3D.p.k-.no-vmsub.29,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4231497,0.15,0.25,0.2061193,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1276859,0.0112743,0.005368573,0.0034376345830538536
