# name: hermes3D.p.pi-
# comment: HERMES proton-to-pi- (zxpt-3D) vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.p.pi-.0,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.152031,0.0,0.15,0.1096793,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,3.786258,0.05478082,0.9643949,0.10193585541680264
hermes3D.p.pi-.1,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1546214,0.15,0.25,0.2226928,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,7.871387,0.07033661,0.7853131,0.2119180909387844
hermes3D.p.pi-.2,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1562146,0.25,0.35,0.3295033,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,8.698135,0.06793105,0.220046,0.23417628480569222
hermes3D.p.pi-.3,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1595915,0.35,0.45,0.4420025,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,6.991761,0.06762931,0.7099162,0.18823628458621663
hermes3D.p.pi-.4,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1627369,0.45,0.6,0.5859958,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,4.099734,0.05606071,0.656737,0.11037543988585825
hermes3D.p.pi-.5,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.168528,0.6,0.8,0.791671,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,1.644273,0.05761473,0.263542,0.04426808072607633
hermes3D.p.pi-.6,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2224191,0.8,1.2,1.357048,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1773034,0.05739303,0.02843709,0.004773465978099623
hermes3D.p.pi-.7,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2298026,0.0,0.15,0.1027844,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,1.638068,0.05151984,0.07078254,0.044101026081923386
hermes3D.p.pi-.8,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2371517,0.15,0.25,0.2167211,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,3.688947,0.07241436,0.9506896,0.09931599168156208
hermes3D.p.pi-.9,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2375678,0.25,0.35,0.3192526,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,4.219037,0.06784803,0.5716395,0.1135873851254037
