# name: compass16.sivers.h+.1<z<2.dz.dQ
# comment: COMPASS16 SSA-Sivers h+, 0.1<z<0.2 (differential in z, joined across 4 Q-windows)
# reference: 1609.07374
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0
compass16.sivers.h+.1<z<2.dz.dQ.0,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.396424004376894,0.0037017294479981047,0.13326226012793177,0.025,0.1,0.12,0.11,0.1,10.0,0.38,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.003,0.004
compass16.sivers.h+.1<z<2.dz.dQ.1,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.396424004376894,0.0037017294479981047,0.13326226012793177,0.026,0.12,0.14,0.13,0.1,10.0,0.4,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.008,0.005
compass16.sivers.h+.1<z<2.dz.dQ.2,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.396424004376894,0.0037017294479981047,0.13326226012793177,0.027,0.14,0.16,0.15,0.1,10.0,0.41,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.006,0.005
compass16.sivers.h+.1<z<2.dz.dQ.3,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.396424004376894,0.0037017294479981047,0.13326226012793177,0.027,0.16,0.18,0.17,0.1,10.0,0.43,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.008,0.006
compass16.sivers.h+.1<z<2.dz.dQ.4,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.396424004376894,0.0037017294479981047,0.13326226012793177,0.028,0.18,0.2,0.19,0.1,10.0,0.44,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.012,0.006
compass16.sivers.h+.1<z<2.dz.dQ.5,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.014806917791992419,0.2082222814498934,0.064,0.1,0.12,0.11,0.1,10.0,0.38,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.004,0.011
compass16.sivers.h+.1<z<2.dz.dQ.6,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.014806917791992419,0.2082222814498934,0.067,0.12,0.14,0.13,0.1,10.0,0.4,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.007,0.012
compass16.sivers.h+.1<z<2.dz.dQ.7,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.014806917791992419,0.2082222814498934,0.068,0.14,0.16,0.15,0.1,10.0,0.41,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.004,0.013
compass16.sivers.h+.1<z<2.dz.dQ.8,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.014806917791992419,0.2082222814498934,0.069,0.16,0.18,0.17,0.1,10.0,0.42,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.011,0.014
compass16.sivers.h+.1<z<2.dz.dQ.9,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.014806917791992419,0.2082222814498934,0.07,0.18,0.2,0.19,0.1,10.0,0.43,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.03,0.016
compass16.sivers.h+.1<z<2.dz.dQ.10,1,1,12,12001,1,1,12,2001,301.03984399999996,2.5,4.0,3.062678566222711,0.023135809049988153,0.5330490405117271,0.115,0.1,0.12,0.11,0.1,10.0,0.38,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.007,0.011
compass16.sivers.h+.1<z<2.dz.dQ.11,1,1,12,12001,1,1,12,2001,301.03984399999996,2.5,4.0,3.062678566222711,0.023135809049988153,0.5330490405117271,0.118,0.12,0.14,0.13,0.1,10.0,0.4,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.022,0.012
compass16.sivers.h+.1<z<2.dz.dQ.12,1,1,12,12001,1,1,12,2001,301.03984399999996,2.5,4.0,3.0610455730027932,0.023135809049988153,0.5330490405117271,0.12,0.14,0.16,0.15,0.1,10.0,0.41,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.026,0.013
compass16.sivers.h+.1<z<2.dz.dQ.13,1,1,12,12001,1,1,12,2001,301.03984399999996,2.5,4.0,3.0610455730027932,0.023135809049988153,0.5330490405117271,0.122,0.16,0.18,0.17,0.1,10.0,0.42,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.009,0.014
compass16.sivers.h+.1<z<2.dz.dQ.14,1,1,12,12001,1,1,12,2001,301.03984399999996,2.5,4.0,3.0610455730027932,0.023135809049988153,0.5330490405117271,0.124,0.18,0.2,0.19,0.1,10.0,0.43,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.007,0.015
compass16.sivers.h+.1<z<2.dz.dQ.15,1,1,12,12001,1,1,12,2001,301.03984399999996,4.0,9.0,5.126402247190518,0.059227671167969675,0.8988000420238954,0.226,0.1,0.12,0.11,0.1,10.0,0.4,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.001,0.021
compass16.sivers.h+.1<z<2.dz.dQ.16,1,1,12,12001,1,1,12,2001,301.03984399999996,4.0,9.0,5.124451190127583,0.059227671167969675,0.8988000420238954,0.229,0.12,0.14,0.13,0.1,10.0,0.41,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.021,0.023
compass16.sivers.h+.1<z<2.dz.dQ.17,1,1,12,12001,1,1,12,2001,301.03984399999996,4.0,9.0,5.126402247190518,0.059227671167969675,0.8988000420238954,0.232,0.14,0.16,0.15,0.1,10.0,0.43,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.025,0.025
compass16.sivers.h+.1<z<2.dz.dQ.18,1,1,12,12001,1,1,12,2001,301.03984399999996,4.0,9.0,5.118593556827891,0.059227671167969675,0.8988000420238954,0.234,0.16,0.18,0.17,0.1,10.0,0.44,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.038,0.027
compass16.sivers.h+.1<z<2.dz.dQ.19,1,1,12,12001,1,1,12,2001,301.03984399999996,4.0,9.0,5.119570294468081,0.059227671167969675,0.8988000420238954,0.236,0.18,0.2,0.19,0.1,10.0,0.46,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.059,0.028
