# name: compass16.sivers.h+.2<z.dpt.dQ
# comment: COMPASS16 SSA-Sivers h+, z>0.2 (differential in pt, joined across 4 Q-windows)
# reference: 1609.07374
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0
compass16.sivers.h+.2<z.dpt.dQ.0,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.3928388277184118,0.0037017294479981047,0.13326226012793177,0.031,0.2,1.0,0.36,0.1,0.3,0.21,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.009,0.005
compass16.sivers.h+.2<z.dpt.dQ.1,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.3928388277184118,0.0037017294479981047,0.13326226012793177,0.03,0.2,1.0,0.36,0.3,0.5,0.4,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.019,0.004
compass16.sivers.h+.2<z.dpt.dQ.2,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.396424004376894,0.0037017294479981047,0.13326226012793177,0.029,0.2,1.0,0.37,0.5,0.75,0.61,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.02,0.005
compass16.sivers.h+.2<z.dpt.dQ.3,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.4,0.0037017294479981047,0.13326226012793177,0.028,0.2,1.0,0.4,0.75,1.0,0.85,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.026,0.007
compass16.sivers.h+.2<z.dpt.dQ.4,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.407124727947029,0.0037017294479981047,0.13326226012793177,0.024,0.2,1.0,0.43,1.0,10.0,1.26,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.021,0.009
compass16.sivers.h+.2<z.dpt.dQ.5,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.014806917791992419,0.2082222814498934,0.079,0.2,1.0,0.34,0.1,0.3,0.21,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.013,0.011
compass16.sivers.h+.2<z.dpt.dQ.6,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.014806917791992419,0.2082222814498934,0.077,0.2,1.0,0.35,0.3,0.5,0.4,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.018,0.01
compass16.sivers.h+.2<z.dpt.dQ.7,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.014806917791992419,0.2082222814498934,0.074,0.2,1.0,0.37,0.5,0.75,0.61,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.037,0.011
compass16.sivers.h+.2<z.dpt.dQ.8,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.014806917791992419,0.2082222814498934,0.069,0.2,1.0,0.41,0.75,1.0,0.86,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.041,0.017
compass16.sivers.h+.2<z.dpt.dQ.9,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.014806917791992419,0.2082222814498934,0.059,0.2,1.0,0.44,1.0,10.0,1.27,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.066,0.022
