# name: hermes3D.sivers.pi+
# comment: HERMES SSA-Sivers pi+ (3d-data). The data MUST be evaluated at a point
# reference: 2007.07755
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes3D.sivers.pi+.0,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2095453691366853,0.023,0.072,0.052,0.2,0.28,0.236,0.0,0.23,0.151,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.019564,0.025504,0.005683
hermes3D.sivers.pi+.1,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.230447073221762,0.023,0.072,0.048,0.2,0.28,0.235,0.23,0.36,0.298,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.028577,0.021038,0.002109
hermes3D.sivers.pi+.2,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2421755109484327,0.023,0.072,0.046,0.2,0.28,0.237,0.36,0.54,0.443,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.036898,0.012949,0.004943
hermes3D.sivers.pi+.3,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2621410380777578,0.023,0.072,0.043,0.2,0.28,0.242,0.54,2.0,0.655,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.022056,0.016187,0.004783
hermes3D.sivers.pi+.4,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.1966620241321273,0.023,0.072,0.054,0.28,0.37,0.32,0.0,0.23,0.15,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.027016,0.029614,0.000874
hermes3D.sivers.pi+.5,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2181953866272848,0.023,0.072,0.05,0.28,0.37,0.32,0.23,0.36,0.297,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.012605,0.038685,0.005187
hermes3D.sivers.pi+.6,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2320714265009152,0.023,0.072,0.047,0.28,0.37,0.32,0.36,0.54,0.449,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.029615,0.020937,0.00363
hermes3D.sivers.pi+.7,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2489995996796797,0.023,0.072,0.045,0.28,0.37,0.323,0.54,2.0,0.699,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.026569,0.015625,0.006034
hermes3D.sivers.pi+.8,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.1836384583140243,0.023,0.072,0.055,0.37,0.49,0.422,0.0,0.23,0.151,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.005229,0.033427,0.00507
hermes3D.sivers.pi+.9,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2045746137122433,0.023,0.072,0.051,0.37,0.49,0.422,0.23,0.36,0.298,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.043906,0.048504,0.000358
hermes3D.sivers.pi+.10,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2214745187681977,0.023,0.072,0.049,0.37,0.49,0.423,0.36,0.54,0.447,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.063532,0.036475,0.007293
hermes3D.sivers.pi+.11,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2409673645990857,0.023,0.072,0.046,0.37,0.49,0.425,0.54,2.0,0.747,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.006851,0.018152,0.001778
hermes3D.sivers.pi+.12,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.1734564329364767,0.023,0.072,0.056,0.49,0.7,0.579,0.0,0.23,0.151,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.029102,0.036801,0.006757
hermes3D.sivers.pi+.13,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.1861703081766968,0.023,0.072,0.053,0.49,0.7,0.578,0.23,0.36,0.298,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.000338,0.050246,0.009122
hermes3D.sivers.pi+.14,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2037441588643327,0.023,0.072,0.051,0.49,0.7,0.577,0.36,0.54,0.448,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.042852,0.047888,0.003702
hermes3D.sivers.pi+.15,1,1,1,12001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2300406497347964,0.023,0.072,0.048,0.49,0.7,0.577,0.54,2.0,0.786,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.09926,0.02561,0.000642
hermes3D.sivers.pi+.16,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.4498275759551547,0.072,0.098,0.084,0.2,0.28,0.239,0.0,0.23,0.14,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.015813,0.022842,0.002789
hermes3D.sivers.pi+.17,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.5449919093639293,0.072,0.098,0.084,0.2,0.28,0.238,0.23,0.36,0.295,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.018839,0.027667,0.011911
hermes3D.sivers.pi+.18,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.5719414747375298,0.072,0.098,0.084,0.2,0.28,0.239,0.36,0.54,0.441,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.093374,0.022363,0.006753
hermes3D.sivers.pi+.19,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.652876280911551,0.072,0.098,0.084,0.2,0.28,0.244,0.54,2.0,0.643,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.06445,0.033874,0.000778
hermes3D.sivers.pi+.20,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.3758633653092156,0.072,0.098,0.084,0.28,0.37,0.321,0.0,0.23,0.142,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.055586,0.024625,0.003099
hermes3D.sivers.pi+.21,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.4638989036132242,0.072,0.098,0.084,0.28,0.37,0.322,0.23,0.36,0.293,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.080973,0.035076,0.009267
hermes3D.sivers.pi+.22,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.515585695366646,0.072,0.098,0.084,0.28,0.37,0.321,0.36,0.54,0.444,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.09708,0.028263,0.001938
hermes3D.sivers.pi+.23,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.5842979517754858,0.072,0.098,0.084,0.28,0.37,0.325,0.54,2.0,0.676,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.088619,0.028475,0.011688
hermes3D.sivers.pi+.24,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.3538833036861042,0.072,0.098,0.085,0.37,0.49,0.423,0.0,0.23,0.146,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.066228,0.027604,0.006972
hermes3D.sivers.pi+.25,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.4092551223962253,0.072,0.098,0.085,0.37,0.49,0.424,0.23,0.36,0.293,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.066944,0.036169,0.006347
hermes3D.sivers.pi+.26,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.4758048651498612,0.072,0.098,0.084,0.37,0.49,0.425,0.36,0.54,0.443,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.036372,0.037771,0.011238
hermes3D.sivers.pi+.27,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.543696861433617,0.072,0.098,0.084,0.37,0.49,0.427,0.54,2.0,0.719,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.065243,0.029149,0.002744
hermes3D.sivers.pi+.28,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.3334166640626628,0.072,0.098,0.085,0.49,0.7,0.578,0.0,0.23,0.148,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.035908,0.032681,0.001519
hermes3D.sivers.pi+.29,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.3660161053223348,0.072,0.098,0.085,0.49,0.7,0.58,0.23,0.36,0.295,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.078409,0.03554,0.001816
hermes3D.sivers.pi+.30,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.419506956657839,0.072,0.098,0.084,0.49,0.7,0.583,0.36,0.54,0.443,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.039426,0.040704,0.002812
hermes3D.sivers.pi+.31,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.5145956556124147,0.072,0.098,0.084,0.49,0.7,0.583,0.54,2.0,0.754,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.085157,0.032874,0.000702
hermes3D.sivers.pi+.32,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.6917446615846021,0.098,0.138,0.116,0.2,0.28,0.239,0.0,0.23,0.139,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.013345,0.019774,0.004328
hermes3D.sivers.pi+.33,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.783255450012701,0.098,0.138,0.116,0.2,0.28,0.239,0.23,0.36,0.292,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.003191,0.025531,0.006884
hermes3D.sivers.pi+.34,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.8063775906493083,0.098,0.138,0.115,0.2,0.28,0.239,0.36,0.54,0.441,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.034553,0.024615,0.006374
hermes3D.sivers.pi+.35,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.8780308836651223,0.098,0.138,0.115,0.2,0.28,0.244,0.54,2.0,0.638,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.049098,0.042187,0.000511
hermes3D.sivers.pi+.36,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.5915401345866211,0.098,0.138,0.116,0.28,0.37,0.322,0.0,0.23,0.143,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.040173,0.021072,0.001735
hermes3D.sivers.pi+.37,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.6772000476985445,0.098,0.138,0.116,0.28,0.37,0.323,0.23,0.36,0.291,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.035081,0.027513,0.003221
hermes3D.sivers.pi+.38,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.7415510328439991,0.098,0.138,0.116,0.28,0.37,0.322,0.36,0.54,0.442,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.063807,0.026866,0.003294
hermes3D.sivers.pi+.39,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.7919263377717287,0.098,0.138,0.115,0.28,0.37,0.325,0.54,2.0,0.672,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.023566,0.031485,0.007113
hermes3D.sivers.pi+.40,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.5527395145355192,0.098,0.138,0.116,0.37,0.49,0.423,0.0,0.23,0.148,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.018547,0.02487,0.001707
hermes3D.sivers.pi+.41,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.5842979517754858,0.098,0.138,0.116,0.37,0.49,0.426,0.23,0.36,0.293,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.02205,0.026376,0.002531
