# name: compass16.wgt.h+.1<z<2.dpt
# comment: COMPASS16 DSSA-A_LT h+ from p, 0.1<z<0.2 (differential in pt, joined across 4 Q-windows)
# reference: 1609.07374
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.03
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0
compass16.wgt.h+.1<z<2.dpt.0,1,1,12,13001,1,1,12,2001,301.03984399999996,1.0,2.0,1.396424004376894,0.0037017294479981047,0.13326226012793177,0.029,0.1,0.2,0.14,0.1,0.3,0.21,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.014,0.012
compass16.wgt.h+.1<z<2.dpt.1,1,1,12,13001,1,1,12,2001,301.03984399999996,1.0,2.0,1.396424004376894,0.0037017294479981047,0.13326226012793177,0.027,0.1,0.2,0.14,0.3,0.5,0.39,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.005,0.012
compass16.wgt.h+.1<z<2.dpt.2,1,1,12,13001,1,1,12,2001,301.03984399999996,1.0,2.0,1.396424004376894,0.0037017294479981047,0.13326226012793177,0.024,0.1,0.2,0.15,0.5,0.75,0.6,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.015,0.015
compass16.wgt.h+.1<z<2.dpt.3,1,1,12,13001,1,1,12,2001,301.03984399999996,1.0,2.0,1.3928388277184118,0.0037017294479981047,0.13326226012793177,0.02,0.1,0.2,0.15,0.75,1.0,0.85,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.001,0.025
compass16.wgt.h+.1<z<2.dpt.4,1,1,12,13001,1,1,12,2001,301.03984399999996,1.0,2.0,1.396424004376894,0.0037017294479981047,0.13326226012793177,0.016,0.1,0.2,0.15,1.0,10.0,1.22,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.008,0.034
compass16.wgt.h+.1<z<2.dpt.5,1,1,12,13001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.014806917791992419,0.2082222814498934,0.073,0.1,0.2,0.14,0.1,0.3,0.21,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.041,0.031
compass16.wgt.h+.1<z<2.dpt.6,1,1,12,13001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.014806917791992419,0.2082222814498934,0.068,0.1,0.2,0.14,0.3,0.5,0.39,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.006,0.03
compass16.wgt.h+.1<z<2.dpt.7,1,1,12,13001,1,1,12,2001,301.03984399999996,2.0,2.5,2.227105745132009,0.014806917791992419,0.2082222814498934,0.061,0.1,0.2,0.15,0.5,0.75,0.6,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.018,0.039
compass16.wgt.h+.1<z<2.dpt.8,1,1,12,13001,1,1,12,2001,301.03984399999996,2.0,2.5,2.227105745132009,0.014806917791992419,0.2082222814498934,0.052,0.1,0.2,0.15,0.75,1.0,0.85,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.021,0.066
compass16.wgt.h+.1<z<2.dpt.9,1,1,12,13001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.014806917791992419,0.2082222814498934,0.042,0.1,0.2,0.15,1.0,10.0,1.23,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.012,0.089
compass16.wgt.h+.1<z<2.dpt.10,1,1,12,13001,1,1,12,2001,301.03984399999996,2.5,4.0,3.059411708155671,0.023135809049988153,0.5330490405117271,0.129,0.1,0.2,0.14,0.1,0.3,0.21,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.019,0.03
compass16.wgt.h+.1<z<2.dpt.11,1,1,12,13001,1,1,12,2001,301.03984399999996,2.5,4.0,3.0610455730027932,0.023135809049988153,0.5330490405117271,0.12,0.1,0.2,0.14,0.3,0.5,0.39,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.027,0.029
compass16.wgt.h+.1<z<2.dpt.12,1,1,12,13001,1,1,12,2001,301.03984399999996,2.5,4.0,3.0643106892089125,0.023135809049988153,0.5330490405117271,0.109,0.1,0.2,0.15,0.5,0.75,0.6,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.036,0.038
compass16.wgt.h+.1<z<2.dpt.13,1,1,12,13001,1,1,12,2001,301.03984399999996,2.5,4.0,3.069201850644561,0.023135809049988153,0.5330490405117271,0.096,0.1,0.2,0.15,0.75,1.0,0.85,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.073,0.065
compass16.wgt.h+.1<z<2.dpt.14,1,1,12,13001,1,1,12,2001,301.03984399999996,2.5,4.0,3.0757112998459397,0.023135809049988153,0.5330490405117271,0.077,0.1,0.2,0.15,1.0,10.0,1.23,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.02,0.087
