# name: compass16.wgt.h-.1<z<2.dx.dQ
# comment: COMPASS16 DSSA-A_LT h- from p, 0.1<z<0.2 (differential in x, joined across 4 Q-windows)
# reference: 1609.07374
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.03
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0
compass16.wgt.h-.1<z<2.dx.dQ.0,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.1269427669584644,0.003,0.008,0.006,0.1,0.2,0.14,0.1,10.0,0.46,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.017,0.013
compass16.wgt.h-.1<z<2.dx.dQ.1,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.2649110640673518,0.008,0.014,0.011,0.1,0.2,0.14,0.1,10.0,0.44,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.006,0.012
compass16.wgt.h-.1<z<2.dx.dQ.2,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.3711309200802089,0.014,0.022,0.018,0.1,0.2,0.14,0.1,10.0,0.42,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.02,0.015
compass16.wgt.h-.1<z<2.dx.dQ.3,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.4142135623730951,0.022,0.035,0.028,0.1,0.2,0.14,0.1,10.0,0.38,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.022,0.023
compass16.wgt.h-.1<z<2.dx.dQ.4,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.5231546211727816,0.035,0.055,0.043,0.1,0.2,0.14,0.1,10.0,0.36,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.003,0.04
compass16.wgt.h-.1<z<2.dx.dQ.5,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.7146428199482247,0.055,0.105,0.07,0.1,0.2,0.15,0.1,10.0,0.33,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.08,0.076
compass16.wgt.h-.1<z<2.dx.dQ.6,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.905255888325765,0.105,0.145,0.11,0.1,0.2,0.15,0.1,10.0,0.31,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.518,0.358
compass16.wgt.h-.1<z<2.dx.dQ.7,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.0,2.5,2.1213203435596424,0.014,0.022,0.02,0.1,0.2,0.14,0.1,10.0,0.47,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.029,0.044
compass16.wgt.h-.1<z<2.dx.dQ.8,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.0,2.5,2.2045407685048604,0.022,0.035,0.029,0.1,0.2,0.14,0.1,10.0,0.45,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.006,0.028
compass16.wgt.h-.1<z<2.dx.dQ.9,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.0,2.5,2.224859546128699,0.035,0.055,0.044,0.1,0.2,0.14,0.1,10.0,0.42,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.026,0.038
compass16.wgt.h-.1<z<2.dx.dQ.10,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.0,2.5,2.233830790368868,0.055,0.105,0.075,0.1,0.2,0.14,0.1,10.0,0.38,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.002,0.055
compass16.wgt.h-.1<z<2.dx.dQ.11,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.0,2.5,2.2516660498395407,0.105,0.145,0.119,0.1,0.2,0.15,0.1,10.0,0.34,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.228,0.134
compass16.wgt.h-.1<z<2.dx.dQ.12,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.0,2.5,2.353720459187964,0.145,0.215,0.163,0.1,0.2,0.15,0.1,10.0,0.31,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.393,0.317
compass16.wgt.h-.1<z<2.dx.dQ.13,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.5,4.0,2.6645825188948455,0.022,0.035,0.031,0.1,0.2,0.14,0.1,10.0,0.47,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.016,0.053
compass16.wgt.h-.1<z<2.dx.dQ.14,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.5,4.0,2.8653097563788807,0.035,0.055,0.046,0.1,0.2,0.14,0.1,10.0,0.45,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.002,0.032
