# name: compass16.wgt.h-.2<z.dx
# comment: COMPASS16 DSSA-A_LT h- from p, z>0.2 (differential in x, joined across 4 Q-windows)
# reference: 1609.07374
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.03
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0
compass16.wgt.h-.2<z.dx.0,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.1269427669584644,0.003,0.008,0.006,0.2,1.0,0.37,0.1,10.0,0.52,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.001,0.014
compass16.wgt.h-.2<z.dx.1,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.2569805089976536,0.008,0.014,0.011,0.2,1.0,0.36,0.1,10.0,0.52,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.006,0.013
compass16.wgt.h-.2<z.dx.2,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.3490737563232043,0.014,0.022,0.018,0.2,1.0,0.36,0.1,10.0,0.51,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.001,0.017
compass16.wgt.h-.2<z.dx.3,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.378404875209022,0.022,0.035,0.028,0.2,1.0,0.37,0.1,10.0,0.49,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.011,0.024
compass16.wgt.h-.2<z.dx.4,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.4866068747318506,0.035,0.055,0.043,0.2,1.0,0.37,0.1,10.0,0.47,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.08,0.04
compass16.wgt.h-.2<z.dx.5,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.697056274847714,0.055,0.105,0.07,0.2,1.0,0.37,0.1,10.0,0.46,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.069,0.072
compass16.wgt.h-.2<z.dx.6,1,1,-12,13001,1,1,-12,2001,301.03984399999996,1.0,2.0,1.9026297590440449,0.105,0.145,0.11,0.2,1.0,0.37,0.1,10.0,0.44,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.039,0.304
compass16.wgt.h-.2<z.dx.7,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.0,2.5,2.1213203435596424,0.014,0.022,0.02,0.2,1.0,0.35,0.1,10.0,0.56,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.038,0.05
compass16.wgt.h-.2<z.dx.8,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.0,2.5,2.2045407685048604,0.022,0.035,0.029,0.2,1.0,0.35,0.1,10.0,0.56,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.037,0.032
compass16.wgt.h-.2<z.dx.9,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.0,2.5,2.2203603311174516,0.035,0.055,0.045,0.2,1.0,0.35,0.1,10.0,0.53,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.033,0.042
compass16.wgt.h-.2<z.dx.10,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.0,2.5,2.2293496809607953,0.055,0.105,0.075,0.2,1.0,0.35,0.1,10.0,0.5,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.003,0.059
compass16.wgt.h-.2<z.dx.11,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.0,2.5,2.240535650240808,0.105,0.145,0.12,0.2,1.0,0.36,0.1,10.0,0.46,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.026,0.128
compass16.wgt.h-.2<z.dx.12,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.0,2.5,2.349468024894146,0.145,0.215,0.163,0.2,1.0,0.36,0.1,10.0,0.44,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.076,0.275
compass16.wgt.h-.2<z.dx.13,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.5,4.0,2.6645825188948455,0.022,0.035,0.031,0.2,1.0,0.34,0.1,10.0,0.58,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.027,0.06
compass16.wgt.h-.2<z.dx.14,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.5,4.0,2.8653097563788807,0.035,0.055,0.046,0.2,1.0,0.34,0.1,10.0,0.57,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.036,0.036
compass16.wgt.h-.2<z.dx.15,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.5,4.0,3.018277654557314,0.055,0.105,0.076,0.2,1.0,0.34,0.1,10.0,0.54,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.006,0.033
compass16.wgt.h-.2<z.dx.16,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.5,4.0,3.057776970284131,0.105,0.145,0.121,0.2,1.0,0.34,0.1,10.0,0.51,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.039,0.061
compass16.wgt.h-.2<z.dx.17,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.5,4.0,3.0886890422961,0.145,0.215,0.176,0.2,1.0,0.35,0.1,10.0,0.48,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.004,0.086
compass16.wgt.h-.2<z.dx.18,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.5,4.0,3.2649655434629015,0.215,0.3,0.248,0.2,1.0,0.35,0.1,10.0,0.46,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.218,0.156
compass16.wgt.h-.2<z.dx.19,1,1,-12,13001,1,1,-12,2001,301.03984399999996,2.5,4.0,3.591656999213594,0.3,0.55,0.351,0.2,1.0,0.36,0.1,10.0,0.46,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.26,0.3
compass16.wgt.h-.2<z.dx.20,1,1,-12,13001,1,1,-12,2001,301.03984399999996,4.0,9.0,4.340506882842141,0.055,0.105,0.084,0.2,1.0,0.34,0.1,10.0,0.6,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.023,0.075
compass16.wgt.h-.2<z.dx.21,1,1,-12,13001,1,1,-12,2001,301.03984399999996,4.0,9.0,4.666904755831214,0.105,0.145,0.123,0.2,1.0,0.33,0.1,10.0,0.58,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.033,0.063
compass16.wgt.h-.2<z.dx.22,1,1,-12,13001,1,1,-12,2001,301.03984399999996,4.0,9.0,4.970915408654627,0.145,0.215,0.179,0.2,1.0,0.33,0.1,10.0,0.56,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.011,0.062
compass16.wgt.h-.2<z.dx.23,1,1,-12,13001,1,1,-12,2001,301.03984399999996,4.0,9.0,5.2459508194416005,0.215,0.3,0.254,0.2,1.0,0.34,0.1,10.0,0.55,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.137,0.078
compass16.wgt.h-.2<z.dx.24,1,1,-12,13001,1,1,-12,2001,301.03984399999996,4.0,9.0,5.479963503528103,0.3,0.55,0.391,0.2,1.0,0.35,0.1,10.0,0.56,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.025,0.088
compass16.wgt.h-.2<z.dx.25,1,1,-12,13001,1,1,-12,2001,301.03984399999996,4.0,9.0,6.061352984276695,0.55,0.8,0.64,0.2,1.0,0.38,0.1,10.0,0.8,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.069,0.245
