# name: hermes3D.wgt.k+
# comment: HERMES 3D DSA-A_LT k+ from p. The data MUST be evaluated at a point
# reference: 2007.07755
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes3D.wgt.k+.0,1,1,2,13001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2149074038789953,0.023,0.072,0.052,0.2,0.28,0.239,0.0,0.23,0.149,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.171888,0.324566,0.02144
hermes3D.wgt.k+.1,1,1,2,13001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2393546707863734,0.023,0.072,0.048,0.2,0.28,0.237,0.23,0.36,0.297,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.376588,0.18757,0.003141
hermes3D.wgt.k+.2,1,1,2,13001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2461942063739504,0.023,0.072,0.046,0.2,0.28,0.239,0.36,0.54,0.444,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.014214,0.122816,0.002671
hermes3D.wgt.k+.3,1,1,2,13001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2621410380777578,0.023,0.072,0.043,0.2,0.28,0.242,0.54,2.0,0.67,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.182816,0.151294,0.004228
hermes3D.wgt.k+.4,1,1,2,13001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.1995832609702421,0.023,0.072,0.054,0.28,0.37,0.321,0.0,0.23,0.15,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.234987,0.342532,0.003298
hermes3D.wgt.k+.5,1,1,2,13001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2292273996295395,0.023,0.072,0.05,0.28,0.37,0.322,0.23,0.36,0.298,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.394343,0.563281,0.058381
hermes3D.wgt.k+.6,1,1,2,13001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2393546707863734,0.023,0.072,0.047,0.28,0.37,0.322,0.36,0.54,0.448,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.20551,0.157037,0.007473
hermes3D.wgt.k+.7,1,1,2,13001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2497999839974394,0.023,0.072,0.044,0.28,0.37,0.326,0.54,2.0,0.722,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.045747,0.12562,0.007827
hermes3D.wgt.k+.8,1,1,2,13001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.1949895397031725,0.023,0.072,0.055,0.37,0.49,0.422,0.0,0.23,0.148,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.279822,0.353677,0.015244
hermes3D.wgt.k+.9,1,1,2,13001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.213672113875902,0.023,0.072,0.052,0.37,0.49,0.424,0.23,0.36,0.297,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.816416,0.587595,0.055252
