# name: hermes3D.wgt.k-
# comment: HERMES 3D DSA-A_LT k- from p. The data MUST be evaluated at a point
# reference: 2007.07755
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes3D.wgt.k-.0,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,1.881910688635356,1.2157302332343307,0.023,0.072,0.051,0.2,0.28,0.236,0.0,0.23,0.152,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.197945,0.408567,0.010412
hermes3D.wgt.k-.1,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,1.881910688635356,1.2300406497347964,0.023,0.072,0.047,0.2,0.28,0.236,0.23,0.36,0.298,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.085128,0.237405,0.006435
hermes3D.wgt.k-.2,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,1.881910688635356,1.2409673645990857,0.023,0.072,0.045,0.2,0.28,0.237,0.36,0.54,0.444,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.055898,0.152831,0.000274
hermes3D.wgt.k-.3,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,1.881910688635356,1.2688577540449522,0.023,0.072,0.043,0.2,0.28,0.242,0.54,2.0,0.666,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.231214,0.185073,0.014206
hermes3D.wgt.k-.4,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,1.881910688635356,1.202913130695646,0.023,0.072,0.053,0.28,0.37,0.319,0.0,0.23,0.151,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.407894,0.447604,0.01574
hermes3D.wgt.k-.5,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,1.881910688635356,1.2251530516633422,0.023,0.072,0.049,0.28,0.37,0.32,0.23,0.36,0.296,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.385253,0.62876,0.022507
hermes3D.wgt.k-.6,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,1.881910688635356,1.2300406497347964,0.023,0.072,0.047,0.28,0.37,0.319,0.36,0.54,0.449,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.331101,0.210132,0.00781
hermes3D.wgt.k-.7,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,1.881910688635356,1.2493998559308386,0.023,0.072,0.044,0.28,0.37,0.324,0.54,2.0,0.724,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.004718,0.170461,0.016792
hermes3D.wgt.k-.8,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,1.881910688635356,1.184483009586883,0.023,0.072,0.054,0.37,0.49,0.424,0.0,0.23,0.146,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.418324,0.531344,0.002948
hermes3D.wgt.k-.9,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,1.881910688635356,1.2157302332343307,0.023,0.072,0.051,0.37,0.49,0.422,0.23,0.36,0.298,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.610107,0.896888,0.002173
