# name: CMS13-04y08
# comment: 
# reference: 
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.025
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,corrErr_0,y_avg,qT_avg
CMS13-04y08.0,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.4,0.8,1.0,2.0,24.0,True,25.0,25.0,-2.4,2.4,5.4329,0.1310247567971411,0.0054329,0.6000000000000001,1.4784442414453383
CMS13-04y08.1,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.4,0.8,2.0,3.0,24.0,True,25.0,25.0,-2.4,2.4,7.1818,0.1452476387932003,0.0071818,0.6000000000000001,2.4649899035698133
CMS13-04y08.2,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.4,0.8,3.0,4.0,24.0,True,25.0,25.0,-2.4,2.4,8.0824,0.1421980407741259,0.0080824,0.6000000000000001,3.4222511606122894
CMS13-04y08.3,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.4,0.8,4.0,5.0,24.0,True,25.0,25.0,-2.4,2.4,8.3632,0.1285357479458535,0.0083632,0.6000000000000001,4.5929993719756625
CMS13-04y08.4,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.4,0.8,5.0,6.0,24.0,True,25.0,25.0,-2.4,2.4,8.0324,0.114035120905798,0.0080324,0.6000000000000001,5.5
CMS13-04y08.5,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.4,0.8,6.0,7.0,24.0,True,25.0,25.0,-2.4,2.4,7.4913,0.1001101133440073,0.0074913,0.6000000000000001,6.5
CMS13-04y08.6,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.4,0.8,7.0,8.0,24.0,True,25.0,25.0,-2.4,2.4,7.0534,0.0844863815949055,0.0070534,0.6000000000000001,7.5
CMS13-04y08.7,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.4,0.8,8.0,9.0,24.0,True,25.0,25.0,-2.4,2.4,6.5501,0.0723908857781834,0.0065501,0.6000000000000001,8.5
CMS13-04y08.8,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.4,0.8,9.0,10.0,24.0,True,25.0,25.0,-2.4,2.4,6.0142,0.0643835970958442,0.0060142,0.6000000000000001,9.5
CMS13-04y08.9,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.4,0.8,10.0,11.0,24.0,True,25.0,25.0,-2.4,2.4,5.4894,0.0564459642047152,0.0054894,0.6000000000000001,10.5
CMS13-04y08.10,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.4,0.8,11.0,12.0,24.0,True,25.0,25.0,-2.4,2.4,5.0296,0.0499554041120677,0.0050296,0.6000000000000001,11.5
CMS13-04y08.11,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.4,0.8,12.0,13.0,24.0,True,25.0,25.0,-2.4,2.4,4.7821,0.0480842941484015,0.0047821,0.6000000000000001,12.5
