# name: hermes3D.d.k+
# comment: 
# reference: 
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.d.k+.231,1,12,2,2001,52.657444,1.0,4.47213595499958,3.1149983114748983,0.2,0.35,0.275,0.2,0.25,0.225,0.0,0.15,0.07554522309555445,0.938,0.494,8.509204635887009e-05,True,0.1,0.85,10.0,10000.0,0.2530562,0.02535844,0.0172635,0.0038093750122455
hermes3D.d.k+.238,1,12,2,2001,52.657444,1.0,4.47213595499958,3.1006122520821764,0.2,0.35,0.275,0.25,0.3,0.275,0.0,0.15,0.07569010900481841,0.938,0.494,8.509204635887009e-05,True,0.1,0.85,10.0,10000.0,0.250654,0.02091665,0.06670698,0.0037732135561957
hermes3D.d.k+.245,1,12,2,2001,52.657444,1.0,4.47213595499958,3.0771591718188,0.2,0.35,0.275,0.3,0.375,0.3375,0.0,0.15,0.07621563651122952,0.938,0.494,8.509204635887006e-05,True,0.1,0.85,10.0,10000.0,0.1693964,0.01275511,0.06015337,0.0025500043599972
hermes3D.d.k+.252,1,12,2,2001,52.657444,1.0,4.47213595499958,3.0505229569289556,0.2,0.35,0.275,0.375,0.475,0.425,0.0,0.15,0.07693885571314188,0.938,0.494,8.509204635887009e-05,True,0.1,0.85,10.0,10000.0,0.1005769,0.008721386,0.04659701,0.0015140317829364
hermes3D.d.k+.253,1,12,2,2001,52.657444,1.0,4.47213595499958,3.0323637716019487,0.2,0.35,0.275,0.375,0.475,0.4197519642654204,0.15,0.25,0.2,0.938,0.494,8.509204635887009e-05,True,0.1,0.85,10.0,10000.0,0.1916872,0.01459098,0.0303291,0.0028855583457244
hermes3D.d.k+.259,1,12,2,2001,52.657444,1.0,4.47213595499958,3.016876340712222,0.2,0.35,0.275,0.475,0.6,0.5375,0.0,0.15,0.07766196198884791,0.938,0.494,8.509204635887006e-05,True,0.1,0.85,10.0,10000.0,0.05383337,0.006061694,0.02689419,0.0008103792537111
hermes3D.d.k+.260,1,12,2,2001,52.657444,1.0,4.47213595499958,3.0078644482046655,0.2,0.35,0.275,0.475,0.6,0.5309236718437771,0.15,0.25,0.2,0.938,0.494,8.509204635887006e-05,True,0.1,0.85,10.0,10000.0,0.1296391,0.01267721,0.04072803,0.0019515188647818
hermes3D.d.k+.266,1,12,2,2001,52.657444,1.0,4.47213595499958,2.9703517120237826,0.2,0.35,0.275,0.6,0.8,0.7,0.0,0.15,0.07825470368772133,0.938,0.494,8.509204635887006e-05,True,0.1,0.85,10.0,10000.0,0.02326202,0.003579915,0.01019119,0.0003501742210716
hermes3D.d.k+.267,1,12,2,2001,52.657444,1.0,4.47213595499958,2.96660107193564,0.2,0.35,0.275,0.6,0.8,0.693,0.15,0.25,0.2002334140624036,0.938,0.494,8.509204635887006e-05,True,0.1,0.85,10.0,10000.0,0.05363419,0.007756392,0.02350515,0.0008073809026928
hermes3D.d.k+.268,1,12,2,2001,52.657444,1.0,4.47213595499958,2.9691065121235067,0.2,0.35,0.275,0.6,0.8,0.693026717005687,0.25,0.35,0.3,0.938,0.494,8.509204635887006e-05,True,0.1,0.85,10.0,10000.0,0.07825557,0.009322431,0.03431396,0.0011780182146378
hermes3D.d.k+.286,1,12,2,2001,52.657444,1.0,4.47213595499958,4.092844307806939,0.35,0.6,0.475,0.2,0.25,0.225,0.0,0.15,0.075,0.938,0.494,0.0008160904310103,True,0.1,0.85,10.0,10000.0,0.1112241,0.07690932,0.0118941,0.0018041223370368
hermes3D.d.k+.293,1,12,2,2001,52.657444,1.0,4.47213595499958,4.0744610082352315,0.35,0.6,0.475,0.25,0.3,0.275,0.0,0.15,0.075,0.938,0.494,0.0008160904310103,True,0.1,0.85,10.0,10000.0,0.2334065,0.07032173,0.06218805,0.0037859949440777
hermes3D.d.k+.300,1,12,2,2001,52.657444,1.0,4.47213595499958,4.045225469812651,0.35,0.6,0.475,0.3,0.375,0.3375,0.0,0.15,0.075,0.938,0.494,0.0008160904310103,True,0.1,0.85,10.0,10000.0,0.1879106,0.04623999,0.06666909,0.0030480238619687
