# name: hermes3D.d.k-
# comment: 
# reference: 
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.d.k-.230,1,12,-2,2001,52.657444,1.0,4.47213595499958,3.0843150188591433,0.2,0.35,0.275,0.2,0.25,0.225,0.0,0.15,0.07579995364683248,0.938,0.494,8.509204635887009e-05,True,0.1,0.85,10.0,10000.0,0.1116284,0.0159496,0.015087,0.0016803952545598
hermes3D.d.k-.237,1,12,-2,2001,52.657444,1.0,4.47213595499958,3.064873083851212,0.2,0.35,0.275,0.25,0.3,0.275,0.0,0.15,0.07630387746115096,0.938,0.494,8.509204635887009e-05,True,0.1,0.85,10.0,10000.0,0.08716883,0.01203404,0.01157459,0.0013121937452972
hermes3D.d.k-.244,1,12,-2,2001,52.657444,1.0,4.47213595499958,3.0211790797009344,0.2,0.35,0.275,0.3,0.375,0.3375,0.0,0.15,0.07706148357629321,0.938,0.494,8.509204635887006e-05,True,0.1,0.85,10.0,10000.0,0.07767738,0.007924919,0.01025508,0.0011693144463115
hermes3D.d.k-.251,1,12,-2,2001,52.657444,1.0,4.47213595499958,2.9456993947415415,0.2,0.35,0.275,0.375,0.475,0.425,0.0,0.15,0.07743696726939124,0.938,0.494,8.509204635887009e-05,True,0.1,0.85,10.0,10000.0,0.01791905,0.003317091,0.002327188,0.000269743959299
hermes3D.d.k-.252,1,12,-2,2001,52.657444,1.0,4.47213595499958,2.9183743158382547,0.2,0.35,0.275,0.375,0.475,0.4225475441665079,0.15,0.25,0.2,0.938,0.494,8.509204635887009e-05,True,0.1,0.85,10.0,10000.0,0.06737537,0.008097167,0.008855075,0.0010142334031681
hermes3D.d.k-.258,1,12,-2,2001,52.657444,1.0,4.47213595499958,2.8434848123224343,0.2,0.35,0.275,0.475,0.6,0.5375,0.0,0.15,0.0761491107376788,0.938,0.494,8.509204635887006e-05,True,0.1,0.85,10.0,10000.0,0.01026794,0.002105224,0.00133534,0.0001545681712727
hermes3D.d.k-.259,1,12,-2,2001,52.657444,1.0,4.47213595499958,2.8292177882408103,0.2,0.35,0.275,0.475,0.6,0.536889383008435,0.15,0.25,0.2,0.938,0.494,8.509204635887006e-05,True,0.1,0.85,10.0,10000.0,0.02021401,0.004497327,0.002642582,0.000304291080761
hermes3D.d.k-.265,1,12,-2,2001,52.657444,1.0,4.47213595499958,2.7715118777703833,0.2,0.35,0.275,0.6,0.8,0.7,0.0,0.15,0.075,0.938,0.494,8.509204635887006e-05,True,0.1,0.85,10.0,10000.0,0.005559019,0.00141102,0.0007286478,8.368254984939348e-05
hermes3D.d.k-.266,1,12,-2,2001,52.657444,1.0,4.47213595499958,2.7636867979454443,0.2,0.35,0.275,0.6,0.8,0.7,0.15,0.25,0.2,0.938,0.494,8.509204635887006e-05,True,0.1,0.85,10.0,10000.0,0.008801908,0.004256512,0.001153709,0.0001324992961851
hermes3D.d.k-.267,1,12,-2,2001,52.657444,1.0,4.47213595499958,2.7569196327916097,0.2,0.35,0.275,0.6,0.8,0.7,0.25,0.35,0.3,0.938,0.494,8.509204635887006e-05,True,0.1,0.85,10.0,10000.0,0.01586449,0.003194047,0.002071194,0.0002388156930674
