# name: hermes3D.p.pi+
# comment: 
# reference: 
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.p.pi+.231,1,1,1,2001,52.657444,1.0,4.47213595499958,3.113555381599407,0.2,0.35,0.275,0.2,0.25,0.225,0.0,0.15,0.0755918032958481,0.938,0.139,7.234976026920964e-05,True,0.1,0.85,10.0,10000.0,1.867888,0.05341661,0.1771403,0.0270952348252078
hermes3D.p.pi+.238,1,1,1,2001,52.657444,1.0,4.47213595499958,3.1045314418118664,0.2,0.35,0.275,0.25,0.3,0.275,0.0,0.15,0.07570456547436955,0.938,0.139,7.234976026920964e-05,True,0.1,0.85,10.0,10000.0,1.26497,0.04304957,0.07618089,0.0183494188071464
hermes3D.p.pi+.245,1,1,1,2001,52.657444,1.0,4.47213595499958,3.0804736182371846,0.2,0.35,0.275,0.3,0.375,0.3375,0.0,0.15,0.07639085082910899,0.938,0.139,7.234976026920963e-05,True,0.1,0.85,10.0,10000.0,0.8654277,0.02747066,0.02739662,0.0125537327482908
hermes3D.p.pi+.252,1,1,1,2001,52.657444,1.0,4.47213595499958,3.036128919520715,0.2,0.35,0.275,0.375,0.475,0.425,0.0,0.15,0.07749540462029875,0.938,0.139,7.234976026920964e-05,True,0.1,0.85,10.0,10000.0,0.4473959,0.01715282,0.006602281,0.0064898414521294
hermes3D.p.pi+.253,1,1,1,2001,52.657444,1.0,4.47213595499958,3.024862347166897,0.2,0.35,0.275,0.375,0.475,0.4206195958445417,0.15,0.25,0.2,0.938,0.139,7.234976026920964e-05,True,0.1,0.85,10.0,10000.0,0.9263744,0.0319293,0.05643168,0.0134378142073085
hermes3D.p.pi+.259,1,1,1,2001,52.657444,1.0,4.47213595499958,3.004036428848486,0.2,0.35,0.275,0.475,0.6,0.5375,0.0,0.15,0.07812467233799338,0.938,0.139,7.234976026920963e-05,True,0.1,0.85,10.0,10000.0,0.2077642,0.01153553,0.008859879,0.0030137887214176
hermes3D.p.pi+.260,1,1,1,2001,52.657444,1.0,4.47213595499958,2.99965914065355,0.2,0.35,0.275,0.475,0.6,0.5318750000000001,0.15,0.25,0.20030222501276834,0.938,0.139,7.234976026920963e-05,True,0.1,0.85,10.0,10000.0,0.4587505,0.02181492,0.0252553,0.0066545491612353
hermes3D.p.pi+.266,1,1,1,2001,52.657444,1.0,4.47213595499958,2.9537814066252217,0.2,0.35,0.275,0.6,0.8,0.7,0.0,0.15,0.07851613938765131,0.938,0.139,7.234976026920963e-05,True,0.1,0.85,10.0,10000.0,0.09604158,0.007355691,0.003077166,0.0013931612404405
hermes3D.p.pi+.267,1,1,1,2001,52.657444,1.0,4.47213595499958,2.9535803716099567,0.2,0.35,0.275,0.6,0.8,0.6930694120655959,0.15,0.25,0.2,0.938,0.139,7.234976026920963e-05,True,0.1,0.85,10.0,10000.0,0.2289709,0.01437272,0.01691132,0.0033214091549596
hermes3D.p.pi+.268,1,1,1,2001,52.657444,1.0,4.47213595499958,2.964892191886193,0.2,0.35,0.275,0.6,0.8,0.6931564324822103,0.25,0.35,0.3,0.938,0.139,7.234976026920963e-05,True,0.1,0.85,10.0,10000.0,0.2679422,0.01674789,0.01458824,0.0038867195616561
hermes3D.p.pi+.287,1,1,1,2001,52.657444,1.0,4.47213595499958,4.128541009205207,0.35,0.6,0.475,0.2,0.25,0.225,0.0,0.15,0.07548882678084928,0.938,0.139,0.0006413039710778,True,0.1,0.85,10.0,10000.0,1.840735,0.1767311,0.1805514,0.0274025314448632
hermes3D.p.pi+.294,1,1,1,2001,52.657444,1.0,4.47213595499958,4.103405963779434,0.35,0.6,0.475,0.25,0.3,0.275,0.0,0.15,0.075,0.938,0.139,0.0006413039710778,True,0.1,0.85,10.0,10000.0,1.348901,0.1474953,0.0812829,0.0200807297457306
